搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
財務金融學系、財金,國立暨南國際大學財務金融學系,5801,英文(學測)x2.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=05801,https://www.com.tw/exam/university_058_111.html
國際企業學系、國企,國立暨南國際大學國際企業學系,5802,英文(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,數學A(後標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E4%BC%81%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=05802,https://www.com.tw/exam/university_058_111.html
土木工程學系、土木,國立暨南國際大學土木工程學系,5803,數學甲(分科)x2.00,自然(學測)x2.00,國文(學測)x1.50,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=05803,https://www.com.tw/exam/university_058_111.html
應用化學系,國立暨南國際大學應用化學系,5804,英文(學測)x2.00,化學(分科)x2.00,數學A(學測)x1.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=05804,https://www.com.tw/exam/university_058_111.html
資訊管理學系、資管,國立暨南國際大學資訊管理學系,5805,英文(學測)x2.00,國文(學測)x1.75,歷史(分科)x1.50,--,---,數學A(後標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=05805,https://www.com.tw/exam/university_058_111.html
電機工程學系甲組、電機,國立暨南國際大學電機工程學系甲組,5806,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,數學A(學測)x1.00,數學甲(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=05806,https://www.com.tw/exam/university_058_111.html
外國語文學系、外文,國立暨南國際大學外國語文學系,5807,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=05807,https://www.com.tw/exam/university_058_111.html
中國語文學系,國立暨南國際大學中國語文學系,5808,國文(學測)x2.00,歷史(分科)x1.75,社會(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=05808,https://www.com.tw/exam/university_058_111.html
歷史學系,國立暨南國際大學歷史學系,5809,歷史(分科)x2.00,國文(學測)x1.00,英文(學測)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=05809,https://www.com.tw/exam/university_058_111.html
公共行政與政策學系,國立暨南國際大學公共行政與政策學系,5810,英文(學測)x1.25,數學B(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9A%A8%E5%8D%97%E5%9C%8B%E9%9A%9B%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%8C%E6%94%BF%E8%88%87%E6%94%BF%E7%AD%96%E5%AD%B8%E7%B3%BB&id=05810,https://www.com.tw/exam/university_058_111.html
