搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學系、中文,國立中央大學中國文學系,1601,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x1.50,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=01601,https://www.com.tw/exam/university_016_111.html
法國語文學系,國立中央大學法國語文學系,1602,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.25,公民與社會(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01602,https://www.com.tw/exam/university_016_111.html
英美語文學系,國立中央大學英美語文學系,1603,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.25,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E8%8B%B1%E7%BE%8E%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01603,https://www.com.tw/exam/university_016_111.html
企業管理學系、企管,國立中央大學企業管理學系,1604,英文(學測)x2.00,數學B(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=01604,https://www.com.tw/exam/university_016_111.html
財務金融學系、財金,國立中央大學財務金融學系,1605,英文(學測)x1.50,數學B(學測)x1.50,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=01605,https://www.com.tw/exam/university_016_111.html
經濟學系,國立中央大學經濟學系,1606,數學B(學測)x2.00,英文(學測)x2.00,國文(學測)x1.25,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB&id=01606,https://www.com.tw/exam/university_016_111.html
土木工程學系、土木,國立中央大學土木工程學系,1607,數學甲(分科)x1.50,物理(分科)x2.00,英文(學測)x1.50,國文(學測)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01607,https://www.com.tw/exam/university_016_111.html
化學工程與材料工程學系、化工,國立中央大學化學工程與材料工程學系,1608,數學甲(分科)x1.00,英文(學測)x1.00,物理(分科)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E8%88%87%E6%9D%90%E6%96%99%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01608,https://www.com.tw/exam/university_016_111.html
大氣科學學系,國立中央大學大氣科學學系,1609,物理(分科)x2.00,數學甲(分科)x2.00,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E5%A4%A7%E6%B0%A3%E7%A7%91%E5%AD%B8%E5%AD%B8%E7%B3%BB&id=01609,https://www.com.tw/exam/university_016_111.html
地球科學學系,國立中央大學地球科學學系,1610,物理(分科)x2.00,數學甲(分科)x2.00,英文(學測)x1.50,化學(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E5%9C%B0%E7%90%83%E7%A7%91%E5%AD%B8%E5%AD%B8%E7%B3%BB&id=01610,https://www.com.tw/exam/university_016_111.html
