搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
電子工程學系,國立彰化師範大學電子工程學系,2301,物理(分科)x2.00,數學甲(分科)x2.00,英文(學測)x2.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E9%9B%BB%E5%AD%90%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02301,https://www.com.tw/exam/university_023_111.html
機電工程學系,國立彰化師範大學機電工程學系,2302,數學甲(分科)x2.00,物理(分科)x2.00,英文(學測)x2.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E6%A9%9F%E9%9B%BB%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02302,https://www.com.tw/exam/university_023_111.html
生物學系,國立彰化師範大學生物學系,2303,生物(分科)x2.00,英文(學測)x1.75,化學(分科)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E5%AD%B8%E7%B3%BB&id=02303,https://www.com.tw/exam/university_023_111.html
企業管理學系、企管,國立彰化師範大學企業管理學系,2304,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,數學A(後標)或數學B(均標),英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=02304,https://www.com.tw/exam/university_023_111.html
會計學系、會計,國立彰化師範大學會計學系,2305,英文(學測)x1.50,國文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.00,--,---,英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E5%AD%B8%E7%B3%BB&id=02305,https://www.com.tw/exam/university_023_111.html
資訊管理學系資訊管理組、資管,國立彰化師範大學資訊管理學系資訊管理組,2306,英文(學測)x2.00,數學B(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E7%B5%84&id=02306,https://www.com.tw/exam/university_023_111.html
運動學系,國立彰化師範大學運動學系,2307,英文(學測)x2.00,國文(學測)x2.00,生物(分科)x1.00,體育(術科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E5%AD%B8%E7%B3%BB&id=02307,https://www.com.tw/exam/university_023_111.html
美術學系,國立彰化師範大學美術學系,2308,美術(術科)x2.00,國文(學測)x1.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E7%BE%8E%E8%A1%93%E5%AD%B8%E7%B3%BB&id=02308,https://www.com.tw/exam/university_023_111.html
國文學系,國立彰化師範大學國文學系,2309,國文(學測)x1.50,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=02309,https://www.com.tw/exam/university_023_111.html
輔導與諮商學系學校輔導與諮商組,國立彰化師範大學輔導與諮商學系學校輔導與諮商組,2310,國文(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.00,社會(學測)x1.00,歷史(分科)x1.00,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%BD%B0%E5%8C%96%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E8%BC%94%E5%B0%8E%E8%88%87%E8%AB%AE%E5%95%86%E5%AD%B8%E7%B3%BB%E5%AD%B8%E6%A0%A1%E8%BC%94%E5%B0%8E%E8%88%87%E8%AB%AE%E5%95%86%E7%B5%84&id=02310,https://www.com.tw/exam/university_023_111.html
