搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
音樂學系,國立嘉義大學音樂學系,10001,音樂(術科)x2.00,國文(學測)x1.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=10001,https://www.com.tw/exam/university_100_111.html
輔導與諮商學系,國立嘉義大學輔導與諮商學系,10002,英文(學測)x1.50,國文(學測)x1.50,數學B(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E8%BC%94%E5%B0%8E%E8%88%87%E8%AB%AE%E5%95%86%E5%AD%B8%E7%B3%BB&id=10002,https://www.com.tw/exam/university_100_111.html
中國文學系、中文,國立嘉義大學中國文學系,10003,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x1.50,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=10003,https://www.com.tw/exam/university_100_111.html
動物科學系、動科,國立嘉義大學動物科學系,10004,生物(分科)x1.50,化學(分科)x1.50,英文(學測)x1.50,數學A(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E5%8B%95%E7%89%A9%E7%A7%91%E5%AD%B8%E7%B3%BB&id=10004,https://www.com.tw/exam/university_100_111.html
應用歷史學系,國立嘉義大學應用歷史學系,10005,歷史(分科)x1.50,國文(學測)x1.25,地理(分科)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=10005,https://www.com.tw/exam/university_100_111.html
外國語言學系英語教學組、英文,國立嘉義大學外國語言學系英語教學組,10006,英文(學測)x2.00,國文(學測)x1.25,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E8%A8%80%E5%AD%B8%E7%B3%BB%E8%8B%B1%E8%AA%9E%E6%95%99%E5%AD%B8%E7%B5%84&id=10006,https://www.com.tw/exam/university_100_111.html
外國語言學系應用外語組、應外,國立嘉義大學外國語言學系應用外語組,10007,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E8%A8%80%E5%AD%B8%E7%B3%BB%E6%87%89%E7%94%A8%E5%A4%96%E8%AA%9E%E7%B5%84&id=10007,https://www.com.tw/exam/university_100_111.html
幼兒教育學系、幼教,國立嘉義大學幼兒教育學系,10008,國文(學測)x1.50,英文(學測)x1.50,數學B(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E5%B9%BC%E5%85%92%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=10008,https://www.com.tw/exam/university_100_111.html
視覺藝術學系,國立嘉義大學視覺藝術學系,10009,美術(術科)x2.00,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E8%A6%96%E8%A6%BA%E8%97%9D%E8%A1%93%E5%AD%B8%E7%B3%BB&id=10009,https://www.com.tw/exam/university_100_111.html
特殊教育學系,國立嘉義大學特殊教育學系,10010,國文(學測)x2.00,公民與社會(分科)x2.00,地理(分科)x2.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%98%89%E7%BE%A9%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=10010,https://www.com.tw/exam/university_100_111.html
