搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
英美語文學系,國立東華大學英美語文學系,3401,英文(學測)x2.00,國文(學測)x1.25,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%8B%B1%E7%BE%8E%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=03401,https://www.com.tw/exam/university_034_111.html
觀光暨休閒遊憩學系,國立東華大學觀光暨休閒遊憩學系,3402,英文(學測)x2.00,國文(學測)x1.50,地理(分科)x1.50,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E6%9A%A8%E4%BC%91%E9%96%92%E9%81%8A%E6%86%A9%E5%AD%B8%E7%B3%BB&id=03402,https://www.com.tw/exam/university_034_111.html
企業管理學系、企管,國立東華大學企業管理學系,3403,英文(學測)x1.50,數學B(學測)x1.50,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=03403,https://www.com.tw/exam/university_034_111.html
資訊管理學系、資管,國立東華大學資訊管理學系,3404,英文(學測)x2.00,國文(學測)x2.00,公民與社會(分科)x1.00,--,---,數學A(後標)或數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=03404,https://www.com.tw/exam/university_034_111.html
化學系,國立東華大學化學系,3405,化學(分科)x2.00,英文(學測)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=03405,https://www.com.tw/exam/university_034_111.html
物理學系物理組,國立東華大學物理學系物理組,3406,物理(分科)x1.00,英文(學測)x1.00,數學甲(分科)x1.00,化學(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB%E7%89%A9%E7%90%86%E7%B5%84&id=03406,https://www.com.tw/exam/university_034_111.html
華文文學系,國立東華大學華文文學系,3407,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%8F%AF%E6%96%87%E6%96%87%E5%AD%B8%E7%B3%BB&id=03407,https://www.com.tw/exam/university_034_111.html
歷史學系,國立東華大學歷史學系,3408,歷史(分科)x2.00,公民與社會(分科)x2.00,社會(學測)x1.00,地理(分科)x1.50,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=03408,https://www.com.tw/exam/university_034_111.html
應用數學系統計科學組、應數,國立東華大學應用數學系統計科學組,3409,數學甲(分科)x1.50,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B3%BB%E7%B5%B1%E8%A8%88%E7%A7%91%E5%AD%B8%E7%B5%84&id=03409,https://www.com.tw/exam/university_034_111.html
材料科學與工程學系,國立東華大學材料科學與工程學系,3410,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E8%88%87%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=03410,https://www.com.tw/exam/university_034_111.html
經濟學系,國立東華大學經濟學系,3411,數學B(學測)x1.00,英文(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB&id=03411,https://www.com.tw/exam/university_034_111.html
諮商與臨床心理學系(自然組,國立東華大學諮商與臨床心理學系(自然組),3412,英文(學測)x1.50,數學甲(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%AB%AE%E5%95%86%E8%88%87%E8%87%A8%E5%BA%8A%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%87%AA%E7%84%B6%E7%B5%84)&id=03412,https://www.com.tw/exam/university_034_111.html
會計學系、會計,國立東華大學會計學系,3413,英文(學測)x2.00,數學B(學測)x1.50,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%9C%83%E8%A8%88%E5%AD%B8%E7%B3%BB&id=03413,https://www.com.tw/exam/university_034_111.html
財務金融學系、財金,國立東華大學財務金融學系,3414,公民與社會(分科)x1.50,數學B(學測)x1.50,英文(學測)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=03414,https://www.com.tw/exam/university_034_111.html
應用數學系數學科學組、應數,國立東華大學應用數學系數學科學組,3415,數學甲(分科)x1.50,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B3%BB%E6%95%B8%E5%AD%B8%E7%A7%91%E5%AD%B8%E7%B5%84&id=03415,https://www.com.tw/exam/university_034_111.html
生命科學系、生科,國立東華大學生命科學系,3416,生物(分科)x1.75,化學(分科)x1.50,英文(學測)x1.75,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%B8%E7%B3%BB&id=03416,https://www.com.tw/exam/university_034_111.html
資訊工程學系資工組、資工,國立東華大學資訊工程學系資工組,3417,數學甲(分科)x1.50,英文(學測)x1.25,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%9D%B1%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E8%B3%87%E5%B7%A5%E7%B5%84&id=03417,https://www.com.tw/exam/university_034_111.html
