搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
文學系,南華大學文學系,5901,國文(學測)x2.00,歷史(分科)x2.00,地理(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%96%87%E5%AD%B8%E7%B3%BB&id=05901,https://www.com.tw/exam/university_059_111.html
資訊工程學系、資工,南華大學資訊工程學系,5902,自然(學測)x2.00,國文(學測)x1.50,物理(分科)x1.00,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=05902,https://www.com.tw/exam/university_059_111.html
生死學系社會工作組、社工,南華大學生死學系社會工作組,5903,國文(學測)x2.00,社會(學測)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%94%9F%E6%AD%BB%E5%AD%B8%E7%B3%BB%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E7%B5%84&id=05903,https://www.com.tw/exam/university_059_111.html
傳播學系,南華大學傳播學系,5905,國文(學測)x2.00,社會(學測)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=05905,https://www.com.tw/exam/university_059_111.html
資訊管理學系、資管,南華大學資訊管理學系,5906,國文(學測)x2.00,歷史(分科)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=05906,https://www.com.tw/exam/university_059_111.html
生死學系諮商組,南華大學生死學系諮商組,5907,國文(學測)x2.00,社會(學測)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%94%9F%E6%AD%BB%E5%AD%B8%E7%B3%BB%E8%AB%AE%E5%95%86%E7%B5%84&id=05907,https://www.com.tw/exam/university_059_111.html
應用社會學系社會工作組、社工,南華大學應用社會學系社會工作組,5908,國文(學測)x2.00,歷史(分科)x1.75,英文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%A4%BE%E6%9C%83%E5%AD%B8%E7%B3%BB%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E7%B5%84&id=05908,https://www.com.tw/exam/university_059_111.html
建築學系社會組,南華大學建築學系社會組,5909,國文(學測)x2.00,英文(學測)x2.00,地理(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%BB%BA%E7%AF%89%E5%AD%B8%E7%B3%BB%E7%A4%BE%E6%9C%83%E7%B5%84&id=05909,https://www.com.tw/exam/university_059_111.html
企業管理學系、企管,南華大學企業管理學系,5910,國文(學測)x2.00,地理(分科)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=05910,https://www.com.tw/exam/university_059_111.html
國際事務與企業學系,南華大學國際事務與企業學系,5911,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E4%BA%8B%E5%8B%99%E8%88%87%E4%BC%81%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=05911,https://www.com.tw/exam/university_059_111.html
應用社會學系社會學組,南華大學應用社會學系社會學組,5912,國文(學測)x2.00,歷史(分科)x1.75,英文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%A4%BE%E6%9C%83%E5%AD%B8%E7%B3%BB%E7%A4%BE%E6%9C%83%E5%AD%B8%E7%B5%84&id=05912,https://www.com.tw/exam/university_059_111.html
文化創意事業管理學系,南華大學文化創意事業管理學系,5914,歷史(分科)x1.75,國文(學測)x2.00,英文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%96%87%E5%8C%96%E5%89%B5%E6%84%8F%E4%BA%8B%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=05914,https://www.com.tw/exam/university_059_111.html
旅遊管理學系,南華大學旅遊管理學系,5915,國文(學測)x2.00,地理(分科)x2.00,歷史(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%97%85%E9%81%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=05915,https://www.com.tw/exam/university_059_111.html
財務金融學系、財金,南華大學財務金融學系,5917,國文(學測)x2.00,數學B(學測)x1.75,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=05917,https://www.com.tw/exam/university_059_111.html
外國語文學系、外文,南華大學外國語文學系,5919,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%8D%97%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=05919,https://www.com.tw/exam/university_059_111.html
