搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
外國語文學系、外文,國立宜蘭大學外國語文學系,15001,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=15001,https://www.com.tw/exam/university_150_111.html
應用經濟與管理學系,國立宜蘭大學應用經濟與管理學系,15002,英文(學測)x1.50,公民與社會(分科)x1.50,國文(學測)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%B6%93%E6%BF%9F%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=15002,https://www.com.tw/exam/university_150_111.html
土木工程學系、土木,國立宜蘭大學土木工程學系,15003,物理(分科)x2.00,國文(學測)x1.50,數學A(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15003,https://www.com.tw/exam/university_150_111.html
機械與機電工程學系,國立宜蘭大學機械與機電工程學系,15004,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E8%88%87%E6%A9%9F%E9%9B%BB%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15004,https://www.com.tw/exam/university_150_111.html
化學工程與材料工程學系、化工,國立宜蘭大學化學工程與材料工程學系,15005,數學甲(分科)x1.50,化學(分科)x1.50,物理(分科)x1.50,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E8%88%87%E6%9D%90%E6%96%99%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15005,https://www.com.tw/exam/university_150_111.html
環境工程學系、環工,國立宜蘭大學環境工程學系,15006,數學甲(分科)x1.75,化學(分科)x2.00,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E7%92%B0%E5%A2%83%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15006,https://www.com.tw/exam/university_150_111.html
電機工程學系、電機,國立宜蘭大學電機工程學系,15007,數學甲(分科)x2.00,物理(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15007,https://www.com.tw/exam/university_150_111.html
電子工程學系,國立宜蘭大學電子工程學系,15008,數學甲(分科)x1.00,物理(分科)x2.00,英文(學測)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E9%9B%BB%E5%AD%90%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15008,https://www.com.tw/exam/university_150_111.html
生物機電工程學系,國立宜蘭大學生物機電工程學系,15009,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E6%A9%9F%E9%9B%BB%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15009,https://www.com.tw/exam/university_150_111.html
食品科學系,國立宜蘭大學食品科學系,15010,化學(分科)x2.00,自然(學測)x2.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%A7%91%E5%AD%B8%E7%B3%BB&id=15010,https://www.com.tw/exam/university_150_111.html
生物技術與動物科學系、動科,國立宜蘭大學生物技術與動物科學系,15011,生物(分科)x2.00,英文(學測)x1.00,化學(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E8%88%87%E5%8B%95%E7%89%A9%E7%A7%91%E5%AD%B8%E7%B3%BB&id=15011,https://www.com.tw/exam/university_150_111.html
森林暨自然資源學系,國立宜蘭大學森林暨自然資源學系,15012,生物(分科)x1.50,化學(分科)x1.00,數學B(學測)x1.00,國文(學測)x1.50,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E6%A3%AE%E6%9E%97%E6%9A%A8%E8%87%AA%E7%84%B6%E8%B3%87%E6%BA%90%E5%AD%B8%E7%B3%BB&id=15012,https://www.com.tw/exam/university_150_111.html
園藝學系,國立宜蘭大學園藝學系,15013,化學(分科)x1.00,自然(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E5%9C%92%E8%97%9D%E5%AD%B8%E7%B3%BB&id=15013,https://www.com.tw/exam/university_150_111.html
資訊工程學系、資工,國立宜蘭大學資訊工程學系,15014,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x2.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15014,https://www.com.tw/exam/university_150_111.html
休閒產業與健康促進學系,國立宜蘭大學休閒產業與健康促進學系,15016,英文(學測)x1.50,國文(學測)x1.00,地理(分科)x2.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%AE%9C%E8%98%AD%E5%A4%A7%E5%AD%B8%E4%BC%91%E9%96%92%E7%94%A2%E6%A5%AD%E8%88%87%E5%81%A5%E5%BA%B7%E4%BF%83%E9%80%B2%E5%AD%B8%E7%B3%BB&id=15016,https://www.com.tw/exam/university_150_111.html
