搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
教育學系,國立屏東大學教育學系,3601,英文(學測)x2.00,國文(學測)x2.00,數學B(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03601,https://www.com.tw/exam/university_036_111.html
教育心理與輔導學系,國立屏東大學教育心理與輔導學系,3602,國文(學測)x1.25,英文(學測)x1.25,公民與社會(分科)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%BF%83%E7%90%86%E8%88%87%E8%BC%94%E5%B0%8E%E5%AD%B8%E7%B3%BB&id=03602,https://www.com.tw/exam/university_036_111.html
英語學系、英文,國立屏東大學英語學系,3603,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E8%8B%B1%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=03603,https://www.com.tw/exam/university_036_111.html
幼兒教育學系、幼教,國立屏東大學幼兒教育學系,3604,國文(學測)x2.00,公民與社會(分科)x2.00,數學B(學測)x1.00,--,---,---,英聽(Ｃ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E5%B9%BC%E5%85%92%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03604,https://www.com.tw/exam/university_036_111.html
社會發展學系,國立屏東大學社會發展學系,3605,公民與社會(分科)x1.00,國文(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E7%99%BC%E5%B1%95%E5%AD%B8%E7%B3%BB&id=03605,https://www.com.tw/exam/university_036_111.html
視覺藝術學系數位媒體設計組,國立屏東大學視覺藝術學系數位媒體設計組,3606,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E8%A6%96%E8%A6%BA%E8%97%9D%E8%A1%93%E5%AD%B8%E7%B3%BB%E6%95%B8%E4%BD%8D%E5%AA%92%E9%AB%94%E8%A8%AD%E8%A8%88%E7%B5%84&id=03606,https://www.com.tw/exam/university_036_111.html
音樂學系,國立屏東大學音樂學系,3607,音樂(術科)x2.00,英文(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=03607,https://www.com.tw/exam/university_036_111.html
特殊教育學系,國立屏東大學特殊教育學系,3608,國文(學測)x2.00,公民與社會(分科)x1.00,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03608,https://www.com.tw/exam/university_036_111.html
中國語文學系,國立屏東大學中國語文學系,3609,國文(學測)x2.00,英文(學測)x1.25,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=03609,https://www.com.tw/exam/university_036_111.html
應用化學系,國立屏東大學應用化學系,3610,化學(分科)x2.00,英文(學測)x1.50,數學甲(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=03610,https://www.com.tw/exam/university_036_111.html
電腦科學與人工智慧學系,國立屏東大學電腦科學與人工智慧學系,3611,數學甲(分科)x2.00,英文(學測)x2.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E9%9B%BB%E8%85%A6%E7%A7%91%E5%AD%B8%E8%88%87%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E5%AD%B8%E7%B3%BB&id=03611,https://www.com.tw/exam/university_036_111.html
應用數學系、應數,國立屏東大學應用數學系,3612,數學甲(分科)x2.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=03612,https://www.com.tw/exam/university_036_111.html
體育學系,國立屏東大學體育學系,3613,體育(術科)x2.00,數學B(學測)x1.00,生物(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E9%AB%94%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03613,https://www.com.tw/exam/university_036_111.html
應用物理系半導體組,國立屏東大學應用物理系半導體組,3614,物理(分科)x2.00,數學A(學測)x1.75,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E5%B1%8F%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%89%A9%E7%90%86%E7%B3%BB%E5%8D%8A%E5%B0%8E%E9%AB%94%E7%B5%84&id=03614,https://www.com.tw/exam/university_036_111.html
