搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
應用英語學系、英文,國立金門大學應用英語學系,15301,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E8%8B%B1%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=15301,https://www.com.tw/exam/university_153_111.html
運動與休閒學系,國立金門大學運動與休閒學系,15302,國文(學測)x2.00,歷史(分科)x2.00,社會(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E8%88%87%E4%BC%91%E9%96%92%E5%AD%B8%E7%B3%BB&id=15302,https://www.com.tw/exam/university_153_111.html
企業管理學系、企管,國立金門大學企業管理學系,15303,國文(學測)x2.00,英文(學測)x1.00,公民與社會(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=15303,https://www.com.tw/exam/university_153_111.html
電機工程學系、電機,國立金門大學電機工程學系,15304,物理(分科)x2.00,國文(學測)x2.00,化學(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15304,https://www.com.tw/exam/university_153_111.html
食品科學系(A組,國立金門大學食品科學系(A組),15305,生物(分科)x2.00,化學(分科)x1.00,國文(學測)x2.00,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%A7%91%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=15305,https://www.com.tw/exam/university_153_111.html
土木與工程管理學系,國立金門大學土木與工程管理學系,15306,物理(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E8%88%87%E5%B7%A5%E7%A8%8B%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=15306,https://www.com.tw/exam/university_153_111.html
觀光管理學系,國立金門大學觀光管理學系,15307,國文(學測)x2.00,英文(學測)x1.25,歷史(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=15307,https://www.com.tw/exam/university_153_111.html
資訊工程學系、資工,國立金門大學資訊工程學系,15308,英文(學測)x1.75,物理(分科)x1.75,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15308,https://www.com.tw/exam/university_153_111.html
建築學系,國立金門大學建築學系,15309,國文(學測)x2.00,歷史(分科)x1.75,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E5%BB%BA%E7%AF%89%E5%AD%B8%E7%B3%BB&id=15309,https://www.com.tw/exam/university_153_111.html
國際暨大陸事務學系,國立金門大學國際暨大陸事務學系,15310,公民與社會(分科)x2.00,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E6%9A%A8%E5%A4%A7%E9%99%B8%E4%BA%8B%E5%8B%99%E5%AD%B8%E7%B3%BB&id=15310,https://www.com.tw/exam/university_153_111.html
華語文學系,國立金門大學華語文學系,15311,國文(學測)x2.00,歷史(分科)x1.00,社會(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%87%91%E9%96%80%E5%A4%A7%E5%AD%B8%E8%8F%AF%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=15311,https://www.com.tw/exam/university_153_111.html
