搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學系、中文,國立中山大學中國文學系,2701,國文(學測)x2.00,歷史(分科)x1.00,英文(學測)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=02701,https://www.com.tw/exam/university_027_111.html
外國語文學系、外文,國立中山大學外國語文學系,2702,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=02702,https://www.com.tw/exam/university_027_111.html
音樂學系,國立中山大學音樂學系,2703,音樂(術科)x2.00,英文(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=02703,https://www.com.tw/exam/university_027_111.html
政治經濟學系,國立中山大學政治經濟學系,2704,英文(學測)x1.50,數學A(學測)x1.50,國文(學測)x1.00,公民與社會(分科)x1.00,--,數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E6%94%BF%E6%B2%BB%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB&id=02704,https://www.com.tw/exam/university_027_111.html
企業管理學系(自然組、企管,國立中山大學企業管理學系(自然組),2705,英文(學測)x2.00,數學甲(分科)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%87%AA%E7%84%B6%E7%B5%84)&id=02705,https://www.com.tw/exam/university_027_111.html
財務管理學系,國立中山大學財務管理學系,2706,公民與社會(分科)x2.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=02706,https://www.com.tw/exam/university_027_111.html
資訊管理學系、資管,國立中山大學資訊管理學系,2707,數學甲(分科)x2.00,英文(學測)x2.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=02707,https://www.com.tw/exam/university_027_111.html
海洋環境及工程學系,國立中山大學海洋環境及工程學系,2708,物理(分科)x1.50,化學(分科)x1.00,數學甲(分科)x1.50,英文(學測)x1.25,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E6%B5%B7%E6%B4%8B%E7%92%B0%E5%A2%83%E5%8F%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02708,https://www.com.tw/exam/university_027_111.html
資訊工程學系、資工,國立中山大學資訊工程學系,2709,數學甲(分科)x2.00,英文(學測)x1.00,物理(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02709,https://www.com.tw/exam/university_027_111.html
電機工程學系、電機,國立中山大學電機工程學系,2710,數學甲(分科)x2.00,英文(學測)x1.50,物理(分科)x1.50,化學(分科)x1.00,--,英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02710,https://www.com.tw/exam/university_027_111.html
