搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
數學教育學系,國立臺中教育大學數學教育學系,3101,數學A(學測)x1.50,國文(學測)x1.00,英文(學測)x1.00,物理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03101,https://www.com.tw/exam/university_031_111.html
幼兒教育學系、幼教,國立臺中教育大學幼兒教育學系,3102,國文(學測)x1.50,英文(學測)x1.25,公民與社會(分科)x1.00,--,---,國文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E5%B9%BC%E5%85%92%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03102,https://www.com.tw/exam/university_031_111.html
區域與社會發展學系,國立臺中教育大學區域與社會發展學系,3103,歷史(分科)x2.00,地理(分科)x2.00,公民與社會(分科)x2.00,國文(學測)x1.00,英文(學測)x1.00,數學A(底標)或數學B(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E5%8D%80%E5%9F%9F%E8%88%87%E7%A4%BE%E6%9C%83%E7%99%BC%E5%B1%95%E5%AD%B8%E7%B3%BB&id=03103,https://www.com.tw/exam/university_031_111.html
教育學系,國立臺中教育大學教育學系,3104,國文(學測)x1.50,數學B(學測)x1.50,英文(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03104,https://www.com.tw/exam/university_031_111.html
美術學系,國立臺中教育大學美術學系,3105,美術(術科)x2.00,國文(學測)x1.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E7%BE%8E%E8%A1%93%E5%AD%B8%E7%B3%BB&id=03105,https://www.com.tw/exam/university_031_111.html
音樂學系,國立臺中教育大學音樂學系,3106,音樂(術科)x2.00,英文(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=03106,https://www.com.tw/exam/university_031_111.html
特殊教育學系,國立臺中教育大學特殊教育學系,3107,國文(學測)x1.00,英文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03107,https://www.com.tw/exam/university_031_111.html
語文教育學系,國立臺中教育大學語文教育學系,3108,國文(學測)x2.00,歷史(分科)x1.25,英文(學測)x1.25,地理(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E8%AA%9E%E6%96%87%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03108,https://www.com.tw/exam/university_031_111.html
科學教育與應用學系,國立臺中教育大學科學教育與應用學系,3109,英文(學測)x1.00,國文(學測)x1.00,化學(分科)x2.00,物理(分科)x2.00,數學甲(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E7%A7%91%E5%AD%B8%E6%95%99%E8%82%B2%E8%88%87%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB&id=03109,https://www.com.tw/exam/university_031_111.html
體育學系,國立臺中教育大學體育學系,3110,數學B(學測)x2.00,國文(學測)x2.00,英文(學測)x2.00,生物(分科)x1.00,體育(術科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E4%B8%AD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E9%AB%94%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03110,https://www.com.tw/exam/university_031_111.html
