搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
計量財務金融學系、財金,國立清華大學計量財務金融學系,1101,數學甲(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E8%A8%88%E9%87%8F%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=01101,https://www.com.tw/exam/university_011_111.html
外國語文學系、外文,國立清華大學外國語文學系,1102,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,數學B(學測)x1.00,---,英聽(Ａ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01102,https://www.com.tw/exam/university_011_111.html
中國文學系甲組、中文,國立清華大學中國文學系甲組(一般組),1103,國文(學測)x1.50,英文(學測)x1.25,數學B(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84(%E4%B8%80%E8%88%AC%E7%B5%84)&id=01103,https://www.com.tw/exam/university_011_111.html
數學系甲組,國立清華大學數學系甲組(數學組),1104,數學甲(分科)x2.00,物理(分科)x1.50,英文(學測)x1.50,化學(分科)x1.00,數學A(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84(%E6%95%B8%E5%AD%B8%E7%B5%84)&id=01104,https://www.com.tw/exam/university_011_111.html
數學系乙組、應數,國立清華大學數學系乙組(應用數學組),1105,數學甲(分科)x2.00,物理(分科)x1.50,英文(學測)x1.50,化學(分科)x1.00,數學A(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB%E4%B9%99%E7%B5%84(%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B5%84)&id=01105,https://www.com.tw/exam/university_011_111.html
物理學系物理組,國立清華大學物理學系物理組(甲組一般組),1106,物理(分科)x1.50,數學甲(分科)x1.50,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB%E7%89%A9%E7%90%86%E7%B5%84(%E7%94%B2%E7%B5%84%E4%B8%80%E8%88%AC%E7%B5%84)&id=01106,https://www.com.tw/exam/university_011_111.html
物理學系光電物理組,國立清華大學物理學系光電物理組,1107,物理(分科)x1.50,數學甲(分科)x1.50,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB%E5%85%89%E9%9B%BB%E7%89%A9%E7%90%86%E7%B5%84&id=01107,https://www.com.tw/exam/university_011_111.html
化學系,國立清華大學化學系,1108,化學(分科)x1.00,物理(分科)x1.00,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=01108,https://www.com.tw/exam/university_011_111.html
生醫工程與環境科學系,國立清華大學生醫工程與環境科學系,1109,英文(學測)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E7%94%9F%E9%86%AB%E5%B7%A5%E7%A8%8B%E8%88%87%E7%92%B0%E5%A2%83%E7%A7%91%E5%AD%B8%E7%B3%BB&id=01109,https://www.com.tw/exam/university_011_111.html
工程與系統科學系甲組,國立清華大學工程與系統科學系甲組(低碳綠能組),1110,英文(學測)x1.00,物理(分科)x1.00,數學甲(分科)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%B7%A5%E7%A8%8B%E8%88%87%E7%B3%BB%E7%B5%B1%E7%A7%91%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84(%E4%BD%8E%E7%A2%B3%E7%B6%A0%E8%83%BD%E7%B5%84)&id=01110,https://www.com.tw/exam/university_011_111.html
化學工程學系、化工,國立清華大學化學工程學系,1111,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,英文(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01111,https://www.com.tw/exam/university_011_111.html
動力機械工程學系甲組、機械,國立清華大學動力機械工程學系甲組,1112,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,英文(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E5%8B%95%E5%8A%9B%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=01112,https://www.com.tw/exam/university_011_111.html
材料科學工程學系甲組,國立清華大學材料科學工程學系甲組,1113,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x1.00,數學甲(分科)x1.00,--,英文(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E6%B8%85%E8%8F%AF%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=01113,https://www.com.tw/exam/university_011_111.html
