搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
資訊工程學系、資工,國立臺灣師範大學資訊工程學系,201,數學甲(分科)x1.50,英文(學測)x1.00,物理(分科)x1.00,國文(學測)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00201,https://www.com.tw/exam/university_002_111.html
英語學系、英文,國立臺灣師範大學英語學系,202,英文(學測)x2.00,國文(學測)x1.50,數學B(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,---,英聽(Ａ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E8%8B%B1%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=00202,https://www.com.tw/exam/university_002_111.html
設計學系視覺設計組,國立臺灣師範大學設計學系視覺設計組,203,美術(術科)x2.00,英文(學測)x1.75,國文(學測)x1.75,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB%E8%A6%96%E8%A6%BA%E8%A8%AD%E8%A8%88%E7%B5%84&id=00203,https://www.com.tw/exam/university_002_111.html
表演藝術學士學位學程,國立臺灣師範大學表演藝術學士學位學程,204,國文(學測)x1.75,歷史(分科)x1.50,英文(學測)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E8%A1%A8%E6%BC%94%E8%97%9D%E8%A1%93%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=00204,https://www.com.tw/exam/university_002_111.html
體育與運動科學系,國立臺灣師範大學體育與運動科學系,205,英文(學測)x2.00,生物(分科)x1.50,數學B(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E9%AB%94%E8%82%B2%E8%88%87%E9%81%8B%E5%8B%95%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00205,https://www.com.tw/exam/university_002_111.html
教育學系,國立臺灣師範大學教育學系,206,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=00206,https://www.com.tw/exam/university_002_111.html
健康促進與衛生教育學系,國立臺灣師範大學健康促進與衛生教育學系,207,英文(學測)x1.50,生物(分科)x1.50,數學甲(分科)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E5%81%A5%E5%BA%B7%E4%BF%83%E9%80%B2%E8%88%87%E8%A1%9B%E7%94%9F%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=00207,https://www.com.tw/exam/university_002_111.html
國文學系,國立臺灣師範大學國文學系,208,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=00208,https://www.com.tw/exam/university_002_111.html
物理學系,國立臺灣師範大學物理學系,209,物理(分科)x1.50,數學甲(分科)x1.25,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB&id=00209,https://www.com.tw/exam/university_002_111.html
生命科學系、生科,國立臺灣師範大學生命科學系,210,生物(分科)x1.50,化學(分科)x1.25,英文(學測)x1.25,數學甲(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00210,https://www.com.tw/exam/university_002_111.html
地球科學系,國立臺灣師範大學地球科學系,211,數學甲(分科)x2.00,物理(分科)x2.00,化學(分科)x1.50,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E5%9C%B0%E7%90%83%E7%A7%91%E5%AD%B8%E7%B3%BB&id=00211,https://www.com.tw/exam/university_002_111.html
教育心理與輔導學系,國立臺灣師範大學教育心理與輔導學系,212,英文(學測)x1.25,數學B(學測)x1.25,國文(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%BF%83%E7%90%86%E8%88%87%E8%BC%94%E5%B0%8E%E5%AD%B8%E7%B3%BB&id=00212,https://www.com.tw/exam/university_002_111.html
社會教育學系,國立臺灣師範大學社會教育學系,213,公民與社會(分科)x1.50,國文(學測)x1.50,英文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,國文(前標)社會(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=00213,https://www.com.tw/exam/university_002_111.html
企業管理學系、企管,國立臺灣師範大學企業管理學系,214,數學B(學測)x2.00,英文(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,數學B(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=00214,https://www.com.tw/exam/university_002_111.html
東亞學系,國立臺灣師範大學東亞學系,215,英文(學測)x2.00,國文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E6%9D%B1%E4%BA%9E%E5%AD%B8%E7%B3%BB&id=00215,https://www.com.tw/exam/university_002_111.html
幼兒與家庭科學學系家庭生活與教育組,國立臺灣師範大學幼兒與家庭科學學系家庭生活與教育組,216,英文(學測)x2.00,數學B(學測)x2.00,國文(學測)x1.75,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E5%B9%BC%E5%85%92%E8%88%87%E5%AE%B6%E5%BA%AD%E7%A7%91%E5%AD%B8%E5%AD%B8%E7%B3%BB%E5%AE%B6%E5%BA%AD%E7%94%9F%E6%B4%BB%E8%88%87%E6%95%99%E8%82%B2%E7%B5%84&id=00216,https://www.com.tw/exam/university_002_111.html
公民教育與活動領導學系,國立臺灣師範大學公民教育與活動領導學系,217,公民與社會(分科)x2.00,國文(學測)x1.25,英文(學測)x1.25,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E5%85%AC%E6%B0%91%E6%95%99%E8%82%B2%E8%88%87%E6%B4%BB%E5%8B%95%E9%A0%98%E5%B0%8E%E5%AD%B8%E7%B3%BB&id=00217,https://www.com.tw/exam/university_002_111.html
特殊教育學系,國立臺灣師範大學特殊教育學系,218,國文(學測)x1.25,英文(學測)x1.25,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=00218,https://www.com.tw/exam/university_002_111.html
歷史學系,國立臺灣師範大學歷史學系,219,歷史(分科)x1.50,國文(學測)x1.25,英文(學測)x1.25,地理(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=00219,https://www.com.tw/exam/university_002_111.html
地理學系,國立臺灣師範大學地理學系,220,地理(分科)x1.50,英文(學測)x1.25,歷史(分科)x1.00,數學B(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E5%9C%B0%E7%90%86%E5%AD%B8%E7%B3%BB&id=00220,https://www.com.tw/exam/university_002_111.html
數學系,國立臺灣師範大學數學系,221,數學甲(分科)x2.00,英文(學測)x1.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=00221,https://www.com.tw/exam/university_002_111.html
化學系,國立臺灣師範大學化學系,222,化學(分科)x1.75,物理(分科)x1.50,數學甲(分科)x1.25,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=00222,https://www.com.tw/exam/university_002_111.html
美術學系繪畫組,國立臺灣師範大學美術學系繪畫組,223,美術(術科)x1.50,國文(學測)x1.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%B8%AB%E7%AF%84%E5%A4%A7%E5%AD%B8%E7%BE%8E%E8%A1%93%E5%AD%B8%E7%B3%BB%E7%B9%AA%E7%95%AB%E7%B5%84&id=00223,https://www.com.tw/exam/university_002_111.html
