搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
商船學系,國立臺灣海洋大學商船學系,2101,英文(學測)x1.50,數學A(學測)x1.50,物理(分科)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E5%95%86%E8%88%B9%E5%AD%B8%E7%B3%BB&id=02101,https://www.com.tw/exam/university_021_111.html
食品科學系,國立臺灣海洋大學食品科學系,2102,化學(分科)x2.00,英文(學測)x2.00,生物(分科)x2.00,數學A(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%A7%91%E5%AD%B8%E7%B3%BB&id=02102,https://www.com.tw/exam/university_021_111.html
航運管理學系,國立臺灣海洋大學航運管理學系,2103,英文(學測)x2.00,數學B(學測)x1.50,國文(學測)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E8%88%AA%E9%81%8B%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=02103,https://www.com.tw/exam/university_021_111.html
運輸科學系B組,國立臺灣海洋大學運輸科學系B組,2104,英文(學測)x2.00,數學甲(分科)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E9%81%8B%E8%BC%B8%E7%A7%91%E5%AD%B8%E7%B3%BBB%E7%B5%84&id=02104,https://www.com.tw/exam/university_021_111.html
海洋環境資訊系,國立臺灣海洋大學海洋環境資訊系,2105,英文(學測)x1.50,數學甲(分科)x1.50,物理(分科)x1.50,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E6%B5%B7%E6%B4%8B%E7%92%B0%E5%A2%83%E8%B3%87%E8%A8%8A%E7%B3%BB&id=02105,https://www.com.tw/exam/university_021_111.html
系統工程暨造船學系,國立臺灣海洋大學系統工程暨造船學系,2106,數學甲(分科)x1.25,物理(分科)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E7%B3%BB%E7%B5%B1%E5%B7%A5%E7%A8%8B%E6%9A%A8%E9%80%A0%E8%88%B9%E5%AD%B8%E7%B3%BB&id=02106,https://www.com.tw/exam/university_021_111.html
河海工程學系,國立臺灣海洋大學河海工程學系,2107,數學甲(分科)x1.50,物理(分科)x1.25,英文(學測)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E6%B2%B3%E6%B5%B7%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02107,https://www.com.tw/exam/university_021_111.html
電機工程學系、電機,國立臺灣海洋大學電機工程學系,2108,數學甲(分科)x1.00,英文(學測)x1.00,物理(分科)x1.00,國文(學測)x1.00,化學(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02108,https://www.com.tw/exam/university_021_111.html
機械與機電工程學系,國立臺灣海洋大學機械與機電工程學系,2109,數學甲(分科)x1.50,物理(分科)x1.50,英文(學測)x1.50,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E8%88%87%E6%A9%9F%E9%9B%BB%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02109,https://www.com.tw/exam/university_021_111.html
資訊工程學系、資工,國立臺灣海洋大學資訊工程學系,2110,數學甲(分科)x1.00,英文(學測)x1.00,物理(分科)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E6%B5%B7%E6%B4%8B%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=02110,https://www.com.tw/exam/university_021_111.html
