搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
不動產與城鄉環境學系,國立臺北大學不動產與城鄉環境學系,9901,英文(學測)x1.50,數學B(學測)x1.50,地理(分科)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E4%B8%8D%E5%8B%95%E7%94%A2%E8%88%87%E5%9F%8E%E9%84%89%E7%92%B0%E5%A2%83%E5%AD%B8%E7%B3%BB&id=09901,https://www.com.tw/exam/university_099_111.html
企業管理學系、企管,國立臺北大學企業管理學系,9902,英文(學測)x2.00,數學A(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=09902,https://www.com.tw/exam/university_099_111.html
統計學系,國立臺北大學統計學系,9903,數學A(學測)x2.00,英文(學測)x1.75,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E7%B5%B1%E8%A8%88%E5%AD%B8%E7%B3%BB&id=09903,https://www.com.tw/exam/university_099_111.html
財政學系、財政,國立臺北大學財政學系,9904,數學A(學測)x1.25,英文(學測)x1.25,公民與社會(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E8%B2%A1%E6%94%BF%E5%AD%B8%E7%B3%BB&id=09904,https://www.com.tw/exam/university_099_111.html
中國文學系、中文,國立臺北大學中國文學系,9905,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x1.25,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=09905,https://www.com.tw/exam/university_099_111.html
歷史學系,國立臺北大學歷史學系,9906,歷史(分科)x1.50,國文(學測)x1.25,英文(學測)x1.25,地理(分科)x1.00,公民與社會(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=09906,https://www.com.tw/exam/university_099_111.html
應用外語學系、應外,國立臺北大學應用外語學系,9907,英文(學測)x2.00,國文(學測)x1.50,地理(分科)x1.00,歷史(分科)x1.00,--,數學B(均標),英聽(Ａ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%A4%96%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=09907,https://www.com.tw/exam/university_099_111.html
公共行政暨政策學系,國立臺北大學公共行政暨政策學系,9908,公民與社會(分科)x2.00,社會(學測)x1.50,國文(學測)x1.50,英文(學測)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%8C%E6%94%BF%E6%9A%A8%E6%94%BF%E7%AD%96%E5%AD%B8%E7%B3%BB&id=09908,https://www.com.tw/exam/university_099_111.html
法律學系司法組,國立臺北大學法律學系司法組,9909,國文(學測)x1.50,英文(學測)x1.50,數學B(學測)x1.50,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB%E5%8F%B8%E6%B3%95%E7%B5%84&id=09909,https://www.com.tw/exam/university_099_111.html
法律學系法學組,國立臺北大學法律學系法學組,9910,國文(學測)x1.50,英文(學測)x1.50,數學B(學測)x1.50,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB%E6%B3%95%E5%AD%B8%E7%B5%84&id=09910,https://www.com.tw/exam/university_099_111.html
社會工作學系、社工,國立臺北大學社會工作學系,9911,國文(學測)x1.50,英文(學測)x1.25,數學B(學測)x1.00,公民與社會(分科)x1.25,歷史(分科)x1.00,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=09911,https://www.com.tw/exam/university_099_111.html
社會學系,國立臺北大學社會學系,9912,英文(學測)x1.50,數學B(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,英文(均標)數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%AD%B8%E7%B3%BB&id=09912,https://www.com.tw/exam/university_099_111.html
