搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
幼兒教育學系、幼教,國立臺東大學幼兒教育學系,3801,國文(學測)x2.00,英文(學測)x2.00,數學B(學測)x1.75,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E5%B9%BC%E5%85%92%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03801,https://www.com.tw/exam/university_038_111.html
教育學系,國立臺東大學教育學系,3802,國文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03802,https://www.com.tw/exam/university_038_111.html
身心整合與運動休閒產業學系,國立臺東大學身心整合與運動休閒產業學系,3803,國文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E8%BA%AB%E5%BF%83%E6%95%B4%E5%90%88%E8%88%87%E9%81%8B%E5%8B%95%E4%BC%91%E9%96%92%E7%94%A2%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=03803,https://www.com.tw/exam/university_038_111.html
文化資源與休閒產業學系,國立臺東大學文化資源與休閒產業學系,3804,國文(學測)x1.50,歷史(分科)x1.25,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%96%87%E5%8C%96%E8%B3%87%E6%BA%90%E8%88%87%E4%BC%91%E9%96%92%E7%94%A2%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=03804,https://www.com.tw/exam/university_038_111.html
應用數學系、應數,國立臺東大學應用數學系,3805,數學A(學測)x2.00,國文(學測)x2.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=03805,https://www.com.tw/exam/university_038_111.html
體育學系,國立臺東大學體育學系,3806,國文(學測)x2.00,英文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E9%AB%94%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03806,https://www.com.tw/exam/university_038_111.html
美術產業學系,國立臺東大學美術產業學系,3807,美術(術科)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E7%BE%8E%E8%A1%93%E7%94%A2%E6%A5%AD%E5%AD%B8%E7%B3%BB&id=03807,https://www.com.tw/exam/university_038_111.html
特殊教育學系,國立臺東大學特殊教育學系,3808,國文(學測)x2.00,英文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03808,https://www.com.tw/exam/university_038_111.html
音樂學系A組,國立臺東大學音樂學系A組,3809,音樂(術科)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=03809,https://www.com.tw/exam/university_038_111.html
應用科學系化學及奈米科學組,國立臺東大學應用科學系化學及奈米科學組,3810,化學(分科)x2.00,數學A(學測)x1.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E6%9D%B1%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%A7%91%E5%AD%B8%E7%B3%BB%E5%8C%96%E5%AD%B8%E5%8F%8A%E5%A5%88%E7%B1%B3%E7%A7%91%E5%AD%B8%E7%B5%84&id=03810,https://www.com.tw/exam/university_038_111.html
