搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
公共衛生學系A組、公衛,國立臺灣大學公共衛生學系A組,101,數學甲(分科)x1.25,英文(學測)x1.25,化學(分科)x1.00,生物(分科)x1.00,物理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%9B%E7%94%9F%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=00101,https://www.com.tw/exam/university_001_111.html
財務金融學系A組、財金,國立臺灣大學財務金融學系A組,102,數學甲(分科)x2.00,英文(學測)x1.50,國文(學測)x1.00,--,---,數學A(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=00102,https://www.com.tw/exam/university_001_111.html
人類學系,國立臺灣大學人類學系,103,英文(學測)x1.50,歷史(分科)x1.00,國文(學測)x1.00,地理(分科)x1.00,公民與社會(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E4%BA%BA%E9%A1%9E%E5%AD%B8%E7%B3%BB&id=00103,https://www.com.tw/exam/university_001_111.html
中國文學系、中文,國立臺灣大學中國文學系,104,國文(學測)x1.50,英文(學測)x1.25,歷史(分科)x1.25,地理(分科)x1.00,數學B(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=00104,https://www.com.tw/exam/university_001_111.html
日本語文學系,國立臺灣大學日本語文學系,105,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.00,地理(分科)x1.00,公民與社會(分科)x1.00,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00105,https://www.com.tw/exam/university_001_111.html
外國語文學系、外文,國立臺灣大學外國語文學系,106,英文(學測)x2.00,國文(學測)x1.25,歷史(分科)x1.00,地理(分科)x1.00,--,數學A(均標)或數學B(均標),英聽(Ａ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00106,https://www.com.tw/exam/university_001_111.html
哲學系,國立臺灣大學哲學系,107,國文(學測)x1.00,英文(學測)x1.00,歷史(分科)x1.00,公民與社會(分科)x1.00,--,英文(前標)數學A(前標)或數學B(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%93%B2%E5%AD%B8%E7%B3%BB&id=00107,https://www.com.tw/exam/university_001_111.html
圖書資訊學系,國立臺灣大學圖書資訊學系,108,國文(學測)x1.25,英文(學測)x1.25,歷史(分科)x1.00,公民與社會(分科)x1.00,--,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E5%9C%96%E6%9B%B8%E8%B3%87%E8%A8%8A%E5%AD%B8%E7%B3%BB&id=00108,https://www.com.tw/exam/university_001_111.html
歷史學系,國立臺灣大學歷史學系,109,歷史(分科)x1.00,國文(學測)x1.00,英文(學測)x1.00,地理(分科)x1.00,公民與社會(分科)x1.00,數學A(均標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=00109,https://www.com.tw/exam/university_001_111.html
戲劇學系,國立臺灣大學戲劇學系,110,英文(學測)x1.50,國文(學測)x1.50,數學B(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%88%B2%E5%8A%87%E5%AD%B8%E7%B3%BB&id=00110,https://www.com.tw/exam/university_001_111.html
法律學系司法組,國立臺灣大學法律學系司法組,111,英文(學測)x1.00,國文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.25,歷史(分科)x1.00,國文(頂標)英文(頂標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB%E5%8F%B8%E6%B3%95%E7%B5%84&id=00111,https://www.com.tw/exam/university_001_111.html
法律學系法學組,國立臺灣大學法律學系法學組,112,英文(學測)x1.00,國文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.25,歷史(分科)x1.00,國文(頂標)英文(頂標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB%E6%B3%95%E5%AD%B8%E7%B5%84&id=00112,https://www.com.tw/exam/university_001_111.html
