搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
音樂學系,國立臺灣藝術大學音樂學系,5601,音樂(術科)x2.00,英文(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,英聽(Ｃ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=05601,https://www.com.tw/exam/university_056_111.html
圖文傳播藝術學系,國立臺灣藝術大學圖文傳播藝術學系,5602,國文(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.00,自然(學測)x1.00,--,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E5%9C%96%E6%96%87%E5%82%B3%E6%92%AD%E8%97%9D%E8%A1%93%E5%AD%B8%E7%B3%BB&id=05602,https://www.com.tw/exam/university_056_111.html
戲劇學系,國立臺灣藝術大學戲劇學系,5603,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,地理(分科)x1.00,--,---,英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E6%88%B2%E5%8A%87%E5%AD%B8%E7%B3%BB&id=05603,https://www.com.tw/exam/university_056_111.html
雕塑學系,國立臺灣藝術大學雕塑學系,5604,美術(術科)x2.00,國文(學測)x2.00,英文(學測)x1.50,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E9%9B%95%E5%A1%91%E5%AD%B8%E7%B3%BB&id=05604,https://www.com.tw/exam/university_056_111.html
工藝設計學系,國立臺灣藝術大學工藝設計學系,5605,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E5%B7%A5%E8%97%9D%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=05605,https://www.com.tw/exam/university_056_111.html
美術學系,國立臺灣藝術大學美術學系,5606,美術(術科)x2.00,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E7%BE%8E%E8%A1%93%E5%AD%B8%E7%B3%BB&id=05606,https://www.com.tw/exam/university_056_111.html
視覺傳達設計學系、視傳,國立臺灣藝術大學視覺傳達設計學系,5607,美術(術科)x2.00,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,--,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E8%A6%96%E8%A6%BA%E5%82%B3%E9%81%94%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=05607,https://www.com.tw/exam/university_056_111.html
古蹟藝術修護學系,國立臺灣藝術大學古蹟藝術修護學系,5608,歷史(分科)x2.00,美術(術科)x1.75,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E5%8F%A4%E8%B9%9F%E8%97%9D%E8%A1%93%E4%BF%AE%E8%AD%B7%E5%AD%B8%E7%B3%BB&id=05608,https://www.com.tw/exam/university_056_111.html
電影學系,國立臺灣藝術大學電影學系,5609,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,公民與社會(分科)x1.00,--,國文(均標)英文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E9%9B%BB%E5%BD%B1%E5%AD%B8%E7%B3%BB&id=05609,https://www.com.tw/exam/university_056_111.html
廣播電視學系、廣電,國立臺灣藝術大學廣播電視學系,5610,國文(學測)x1.50,英文(學測)x1.50,歷史(分科)x1.00,公民與社會(分科)x1.00,--,---,英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E7%81%A3%E8%97%9D%E8%A1%93%E5%A4%A7%E5%AD%B8%E5%BB%A3%E6%92%AD%E9%9B%BB%E8%A6%96%E5%AD%B8%E7%B3%BB&id=05610,https://www.com.tw/exam/university_056_111.html
