搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
特殊教育學系(文組,國立臺北教育大學特殊教育學系(文組),3202,英文(學測)x2.00,國文(學測)x1.50,地理(分科)x1.50,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB(%E6%96%87%E7%B5%84)&id=03202,https://www.com.tw/exam/university_032_111.html
數學暨資訊教育學系數學組,國立臺北教育大學數學暨資訊教育學系數學組,3203,數學甲(分科)x2.00,國文(學測)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E6%9A%A8%E8%B3%87%E8%A8%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB%E6%95%B8%E5%AD%B8%E7%B5%84&id=03203,https://www.com.tw/exam/university_032_111.html
幼兒與家庭教育學系,國立臺北教育大學幼兒與家庭教育學系,3204,國文(學測)x1.50,英文(學測)x1.50,數學B(學測)x1.00,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E5%B9%BC%E5%85%92%E8%88%87%E5%AE%B6%E5%BA%AD%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03204,https://www.com.tw/exam/university_032_111.html
兒童英語教育學系、英文,國立臺北教育大學兒童英語教育學系,3205,英文(學測)x2.00,國文(學測)x1.00,數學B(學測)x1.00,歷史(分科)x1.00,--,英文(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E5%85%92%E7%AB%A5%E8%8B%B1%E8%AA%9E%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03205,https://www.com.tw/exam/university_032_111.html
社會與區域發展學系,國立臺北教育大學社會與區域發展學系,3206,英文(學測)x2.00,數學B(學測)x1.00,國文(學測)x1.00,地理(分科)x1.50,歷史(分科)x1.50,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E8%88%87%E5%8D%80%E5%9F%9F%E7%99%BC%E5%B1%95%E5%AD%B8%E7%B3%BB&id=03206,https://www.com.tw/exam/university_032_111.html
教育學系,國立臺北教育大學教育學系,3207,國文(學測)x1.50,英文(學測)x1.50,數學B(學測)x1.25,歷史(分科)x1.00,公民與社會(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03207,https://www.com.tw/exam/university_032_111.html
藝術與造形設計學系藝術組,國立臺北教育大學藝術與造形設計學系藝術組,3208,國文(學測)x1.50,英文(學測)x1.50,歷史(分科)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E8%97%9D%E8%A1%93%E8%88%87%E9%80%A0%E5%BD%A2%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB%E8%97%9D%E8%A1%93%E7%B5%84&id=03208,https://www.com.tw/exam/university_032_111.html
心理與諮商學系,國立臺北教育大學心理與諮商學系,3209,數學B(學測)x1.50,英文(學測)x1.25,國文(學測)x1.25,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E5%BF%83%E7%90%86%E8%88%87%E8%AB%AE%E5%95%86%E5%AD%B8%E7%B3%BB&id=03209,https://www.com.tw/exam/university_032_111.html
語文與創作學系語文師資組,國立臺北教育大學語文與創作學系語文師資組,3210,國文(學測)x2.00,英文(學測)x1.25,歷史(分科)x1.00,數學B(學測)x1.00,物理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E8%AA%9E%E6%96%87%E8%88%87%E5%89%B5%E4%BD%9C%E5%AD%B8%E7%B3%BB%E8%AA%9E%E6%96%87%E5%B8%AB%E8%B3%87%E7%B5%84&id=03210,https://www.com.tw/exam/university_032_111.html
自然科學教育學系,國立臺北教育大學自然科學教育學系,3211,物理(分科)x2.00,化學(分科)x2.00,數學甲(分科)x1.00,英文(學測)x2.00,--,數學A(後標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E8%87%AA%E7%84%B6%E7%A7%91%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03211,https://www.com.tw/exam/university_032_111.html
體育學系,國立臺北教育大學體育學系,3212,體育(術科)x2.00,數學B(學測)x1.50,國文(學測)x1.00,英文(學測)x1.00,生物(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E9%AB%94%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03212,https://www.com.tw/exam/university_032_111.html
數學暨資訊教育學系人工智慧與資訊教育組,國立臺北教育大學數學暨資訊教育學系人工智慧與資訊教育組,3213,數學甲(分科)x2.00,英文(學測)x1.50,國文(學測)x1.25,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E6%9A%A8%E8%B3%87%E8%A8%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB%E4%BA%BA%E5%B7%A5%E6%99%BA%E6%85%A7%E8%88%87%E8%B3%87%E8%A8%8A%E6%95%99%E8%82%B2%E7%B5%84&id=03213,https://www.com.tw/exam/university_032_111.html
藝術與造形設計學系設計組,國立臺北教育大學藝術與造形設計學系設計組,3214,英文(學測)x1.50,數學B(學測)x2.00,國文(學測)x1.25,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E8%97%9D%E8%A1%93%E8%88%87%E9%80%A0%E5%BD%A2%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB%E8%A8%AD%E8%A8%88%E7%B5%84&id=03214,https://www.com.tw/exam/university_032_111.html
資訊科學系、資科,國立臺北教育大學資訊科學系,3215,數學甲(分科)x2.00,英文(學測)x2.00,物理(分科)x2.00,國文(學測)x1.00,--,數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%A7%91%E5%AD%B8%E7%B3%BB&id=03215,https://www.com.tw/exam/university_032_111.html
教育經營與管理學系,國立臺北教育大學教育經營與管理學系,3216,英文(學測)x1.50,國文(學測)x1.50,數學B(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E7%B6%93%E7%87%9F%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=03216,https://www.com.tw/exam/university_032_111.html
語文與創作學系文學創作組,國立臺北教育大學語文與創作學系文學創作組,3217,國文(學測)x2.00,英文(學測)x1.25,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E8%AA%9E%E6%96%87%E8%88%87%E5%89%B5%E4%BD%9C%E5%AD%B8%E7%B3%BB%E6%96%87%E5%AD%B8%E5%89%B5%E4%BD%9C%E7%B5%84&id=03217,https://www.com.tw/exam/university_032_111.html
數位科技設計學系(資訊應用組,國立臺北教育大學數位科技設計學系(資訊應用組),3218,數學甲(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E6%95%B8%E4%BD%8D%E7%A7%91%E6%8A%80%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E8%B3%87%E8%A8%8A%E6%87%89%E7%94%A8%E7%B5%84)&id=03218,https://www.com.tw/exam/university_032_111.html
文化創意產業經營學系,國立臺北教育大學文化創意產業經營學系,3219,社會(學測)x1.50,英文(學測)x1.50,國文(學測)x1.50,地理(分科)x1.00,歷史(分科)x1.00,國文(均標)數學A(均標)或數學B(均標),英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8C%97%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%B8%E6%96%87%E5%8C%96%E5%89%B5%E6%84%8F%E7%94%A2%E6%A5%AD%E7%B6%93%E7%87%9F%E5%AD%B8%E7%B3%BB&id=03219,https://www.com.tw/exam/university_032_111.html
