搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
西洋語文學系,國立高雄大學西洋語文學系,10101,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E8%A5%BF%E6%B4%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=10101,https://www.com.tw/exam/university_101_111.html
應用經濟學系,國立高雄大學應用經濟學系,10102,數學B(學測)x2.00,英文(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB&id=10102,https://www.com.tw/exam/university_101_111.html
亞太工商管理學系企業管理組、企管,國立高雄大學亞太工商管理學系企業管理組,10103,英文(學測)x1.25,數學B(學測)x1.25,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E4%BA%9E%E5%A4%AA%E5%B7%A5%E5%95%86%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E7%B5%84&id=10103,https://www.com.tw/exam/university_101_111.html
電機工程學系、電機,國立高雄大學電機工程學系,10104,數學甲(分科)x1.50,物理(分科)x1.50,英文(學測)x1.50,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=10104,https://www.com.tw/exam/university_101_111.html
土木與環境工程學系、環工,國立高雄大學土木與環境工程學系,10105,數學甲(分科)x2.00,物理(分科)x1.50,化學(分科)x1.50,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E8%88%87%E7%92%B0%E5%A2%83%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=10105,https://www.com.tw/exam/university_101_111.html
亞太工商管理學系工業管理組、工管,國立高雄大學亞太工商管理學系工業管理組,10106,英文(學測)x1.25,數學A(學測)x1.25,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E4%BA%9E%E5%A4%AA%E5%B7%A5%E5%95%86%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E5%B7%A5%E6%A5%AD%E7%AE%A1%E7%90%86%E7%B5%84&id=10106,https://www.com.tw/exam/university_101_111.html
應用數學系、應數,國立高雄大學應用數學系,10107,數學甲(分科)x2.00,國文(學測)x1.25,英文(學測)x1.00,數學A(學測)x1.50,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=10107,https://www.com.tw/exam/university_101_111.html
應用化學系,國立高雄大學應用化學系,10108,化學(分科)x2.00,數學甲(分科)x1.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=10108,https://www.com.tw/exam/university_101_111.html
運動健康與休閒學系,國立高雄大學運動健康與休閒學系,10109,國文(學測)x1.50,數學B(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E9%81%8B%E5%8B%95%E5%81%A5%E5%BA%B7%E8%88%87%E4%BC%91%E9%96%92%E5%AD%B8%E7%B3%BB&id=10109,https://www.com.tw/exam/university_101_111.html
資訊管理學系、資管,國立高雄大學資訊管理學系,10110,英文(學測)x1.50,數學B(學測)x1.50,國文(學測)x1.00,公民與社會(分科)x1.00,--,英文(均標)數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%AB%98%E9%9B%84%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=10110,https://www.com.tw/exam/university_101_111.html
