搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
幼兒教育學系、幼教,國立臺南大學幼兒教育學系,3301,國文(學測)x2.00,英文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E5%B9%BC%E5%85%92%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03301,https://www.com.tw/exam/university_033_111.html
行政管理學系,國立臺南大學行政管理學系,3302,國文(學測)x1.50,英文(學測)x1.50,數學B(學測)x1.00,公民與社會(分科)x1.00,歷史(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E8%A1%8C%E6%94%BF%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=03302,https://www.com.tw/exam/university_033_111.html
教育學系,國立臺南大學教育學系,3303,公民與社會(分科)x2.00,國文(學測)x1.50,英文(學測)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03303,https://www.com.tw/exam/university_033_111.html
視覺藝術與設計學系,國立臺南大學視覺藝術與設計學系,3304,美術(術科)x2.00,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E8%A6%96%E8%A6%BA%E8%97%9D%E8%A1%93%E8%88%87%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB&id=03304,https://www.com.tw/exam/university_033_111.html
音樂學系,國立臺南大學音樂學系,3305,音樂(術科)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=03305,https://www.com.tw/exam/university_033_111.html
特殊教育學系,國立臺南大學特殊教育學系,3306,英文(學測)x1.50,數學B(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03306,https://www.com.tw/exam/university_033_111.html
國語文學系,國立臺南大學國語文學系,3307,國文(學測)x2.00,數學B(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=03307,https://www.com.tw/exam/university_033_111.html
材料科學系,國立臺南大學材料科學系,3308,物理(分科)x1.50,化學(分科)x1.50,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E7%B3%BB&id=03308,https://www.com.tw/exam/university_033_111.html
應用數學系、應數,國立臺南大學應用數學系,3309,數學甲(分科)x2.00,物理(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=03309,https://www.com.tw/exam/university_033_111.html
體育學系,國立臺南大學體育學系,3310,體育(術科)x1.00,國文(學測)x2.00,數學B(學測)x2.00,英文(學測)x1.00,生物(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%87%BA%E5%8D%97%E5%A4%A7%E5%AD%B8%E9%AB%94%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03310,https://www.com.tw/exam/university_033_111.html
