搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
電子工程學系(甲組,國立聯合大學電子工程學系(甲組),15101,數學A(學測)x2.00,英文(學測)x1.00,物理(分科)x1.50,國文(學測)x1.50,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E9%9B%BB%E5%AD%90%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E7%94%B2%E7%B5%84)&id=15101,https://www.com.tw/exam/university_151_111.html
電機工程學系、電機,國立聯合大學電機工程學系,15102,數學A(學測)x1.50,物理(分科)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15102,https://www.com.tw/exam/university_151_111.html
機械工程學系、機械,國立聯合大學機械工程學系,15103,數學A(學測)x2.00,物理(分科)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15103,https://www.com.tw/exam/university_151_111.html
材料科學工程學系,國立聯合大學材料科學工程學系,15104,物理(分科)x1.00,化學(分科)x1.00,數學A(學測)x1.00,英文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15104,https://www.com.tw/exam/university_151_111.html
土木與防災工程學系,國立聯合大學土木與防災工程學系,15105,數學A(學測)x1.50,物理(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E8%88%87%E9%98%B2%E7%81%BD%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15105,https://www.com.tw/exam/university_151_111.html
建築學系,國立聯合大學建築學系,15106,國文(學測)x2.00,英文(學測)x2.00,數學甲(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E5%BB%BA%E7%AF%89%E5%AD%B8%E7%B3%BB&id=15106,https://www.com.tw/exam/university_151_111.html
環境與安全衛生工程學系,國立聯合大學環境與安全衛生工程學系,15107,化學(分科)x1.50,國文(學測)x1.00,數學甲(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E7%92%B0%E5%A2%83%E8%88%87%E5%AE%89%E5%85%A8%E8%A1%9B%E7%94%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15107,https://www.com.tw/exam/university_151_111.html
財務金融學系、財金,國立聯合大學財務金融學系,15108,英文(學測)x1.50,數學B(學測)x1.50,國文(學測)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=15108,https://www.com.tw/exam/university_151_111.html
資訊管理學系、資管,國立聯合大學資訊管理學系,15109,數學B(學測)x2.00,國文(學測)x2.00,英文(學測)x1.75,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=15109,https://www.com.tw/exam/university_151_111.html
光電工程學系,國立聯合大學光電工程學系,15110,物理(分科)x2.00,化學(分科)x1.50,國文(學測)x1.50,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E8%81%AF%E5%90%88%E5%A4%A7%E5%AD%B8%E5%85%89%E9%9B%BB%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=15110,https://www.com.tw/exam/university_151_111.html
