搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
材料科學與工程學系乙組,國立陽明交通大學材料科學與工程學系乙組,1302,物理(分科)x1.00,化學(分科)x1.00,數學甲(分科)x1.00,自然(學測)x1.00,英文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E8%88%87%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E4%B9%99%E7%B5%84&id=01302,https://www.com.tw/exam/university_013_111.html
電機工程學系甲組、電機,國立陽明交通大學電機工程學系甲組(電資國際組),1303,數學甲(分科)x1.00,物理(分科)x1.00,化學(分科)x1.00,英文(學測)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84(%E9%9B%BB%E8%B3%87%E5%9C%8B%E9%9A%9B%E7%B5%84)&id=01303,https://www.com.tw/exam/university_013_111.html
電機工程學系乙組、電機,國立陽明交通大學電機工程學系乙組(電機工程組),1304,數學甲(分科)x1.00,物理(分科)x1.50,化學(分科)x1.50,英文(學測)x1.50,--,自然(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E4%B9%99%E7%B5%84(%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E7%B5%84)&id=01304,https://www.com.tw/exam/university_013_111.html
資訊工程學系甲組、資工,國立陽明交通大學資訊工程學系甲組,1305,數學甲(分科)x1.00,英文(學測)x1.00,物理(分科)x1.00,化學(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=01305,https://www.com.tw/exam/university_013_111.html
資訊工程學系乙組、資工,國立陽明交通大學資訊工程學系乙組,1306,數學甲(分科)x1.00,英文(學測)x1.00,物理(分科)x1.00,化學(分科)x1.00,國文(學測)x1.00,數學A(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E4%B9%99%E7%B5%84&id=01306,https://www.com.tw/exam/university_013_111.html
機械工程學系、機械,國立陽明交通大學機械工程學系,1307,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,--,國文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01307,https://www.com.tw/exam/university_013_111.html
土木工程學系、土木,國立陽明交通大學土木工程學系,1308,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01308,https://www.com.tw/exam/university_013_111.html
材料科學與工程學系甲組,國立陽明交通大學材料科學與工程學系甲組,1309,物理(分科)x1.00,化學(分科)x1.00,數學甲(分科)x1.00,自然(學測)x1.00,英文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E8%88%87%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E7%94%B2%E7%B5%84&id=01309,https://www.com.tw/exam/university_013_111.html
電子物理學系電子物理組,國立陽明交通大學電子物理學系電子物理組,1310,物理(分科)x1.00,數學甲(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E9%9B%BB%E5%AD%90%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB%E9%9B%BB%E5%AD%90%E7%89%A9%E7%90%86%E7%B5%84&id=01310,https://www.com.tw/exam/university_013_111.html
應用數學系、應數,國立陽明交通大學應用數學系,1311,數學甲(分科)x2.00,物理(分科)x1.50,化學(分科)x1.00,英文(學測)x1.50,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%9C%8B%E7%AB%8B%E9%99%BD%E6%98%8E%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=01311,https://www.com.tw/exam/university_013_111.html
