搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
廣告學系B組,中國文化大學廣告學系B組,1701,美術(術科)x1.00,國文(學測)x1.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E5%BB%A3%E5%91%8A%E5%AD%B8%E7%B3%BBB%E7%B5%84&id=01701,https://www.com.tw/exam/university_017_111.html
生活應用科學系,中國文化大學生活應用科學系,1702,國文(學測)x2.00,公民與社會(分科)x2.00,歷史(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E7%94%9F%E6%B4%BB%E6%87%89%E7%94%A8%E7%A7%91%E5%AD%B8%E7%B3%BB&id=01702,https://www.com.tw/exam/university_017_111.html
音樂學系A組,中國文化大學音樂學系A組,1703,音樂(術科)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=01703,https://www.com.tw/exam/university_017_111.html
韓國語文學系,中國文化大學韓國語文學系,1704,國文(學測)x2.00,英文(學測)x2.00,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E9%9F%93%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01704,https://www.com.tw/exam/university_017_111.html
法國語文學系,中國文化大學法國語文學系,1705,英文(學測)x1.50,歷史(分科)x2.00,國文(學測)x1.00,地理(分科)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01705,https://www.com.tw/exam/university_017_111.html
俄國語文學系,中國文化大學俄國語文學系,1706,英文(學測)x2.00,國文(學測)x1.00,地理(分科)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E4%BF%84%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01706,https://www.com.tw/exam/university_017_111.html
保健營養學系,中國文化大學保健營養學系,1707,化學(分科)x2.00,英文(學測)x1.00,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E4%BF%9D%E5%81%A5%E7%87%9F%E9%A4%8A%E5%AD%B8%E7%B3%BB&id=01707,https://www.com.tw/exam/university_017_111.html
資訊管理學系(雲端服務暨巨量資料組、資管,中國文化大學資訊管理學系(雲端服務暨巨量資料組),1708,歷史(分科)x2.00,數學B(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E9%9B%B2%E7%AB%AF%E6%9C%8D%E5%8B%99%E6%9A%A8%E5%B7%A8%E9%87%8F%E8%B3%87%E6%96%99%E7%B5%84)&id=01708,https://www.com.tw/exam/university_017_111.html
新聞學系,中國文化大學新聞學系,1709,國文(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E6%96%B0%E8%81%9E%E5%AD%B8%E7%B3%BB&id=01709,https://www.com.tw/exam/university_017_111.html
廣告學系A組,中國文化大學廣告學系A組,1710,國文(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.00,社會(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%AD%E5%9C%8B%E6%96%87%E5%8C%96%E5%A4%A7%E5%AD%B8%E5%BB%A3%E5%91%8A%E5%AD%B8%E7%B3%BBA%E7%B5%84&id=01710,https://www.com.tw/exam/university_017_111.html
