搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
英國語文學系,靜宜大學英國語文學系,1801,英文(學測)x2.00,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%8B%B1%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01801,https://www.com.tw/exam/university_018_111.html
西班牙語文學系,靜宜大學西班牙語文學系,1802,英文(學測)x1.50,國文(學測)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01802,https://www.com.tw/exam/university_018_111.html
日本語文學系,靜宜大學日本語文學系,1803,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01803,https://www.com.tw/exam/university_018_111.html
生態人文學系(人文組,靜宜大學生態人文學系(人文組),1804,歷史(分科)x2.00,國文(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E7%94%9F%E6%85%8B%E4%BA%BA%E6%96%87%E5%AD%B8%E7%B3%BB(%E4%BA%BA%E6%96%87%E7%B5%84)&id=01804,https://www.com.tw/exam/university_018_111.html
法律學系,靜宜大學法律學系,1805,國文(學測)x2.00,公民與社會(分科)x2.00,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%BE%8B%E5%AD%B8%E7%B3%BB&id=01805,https://www.com.tw/exam/university_018_111.html
應用化學系,靜宜大學應用化學系,1806,化學(分科)x2.00,自然(學測)x2.00,國文(學測)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%8C%96%E5%AD%B8%E7%B3%BB&id=01806,https://www.com.tw/exam/university_018_111.html
中國文學系、中文,靜宜大學中國文學系,1807,國文(學測)x1.50,歷史(分科)x1.25,地理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=01807,https://www.com.tw/exam/university_018_111.html
財務金融學系(金融科技組、財金,靜宜大學財務金融學系(金融科技組),1808,國文(學測)x2.00,英文(學測)x1.50,公民與社會(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB(%E9%87%91%E8%9E%8D%E7%A7%91%E6%8A%80%E7%B5%84)&id=01808,https://www.com.tw/exam/university_018_111.html
社會工作與兒童少年福利學系、社工,靜宜大學社會工作與兒童少年福利學系,1809,國文(學測)x2.00,歷史(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E8%88%87%E5%85%92%E7%AB%A5%E5%B0%91%E5%B9%B4%E7%A6%8F%E5%88%A9%E5%AD%B8%E7%B3%BB&id=01809,https://www.com.tw/exam/university_018_111.html
生態人文學系(自然組,靜宜大學生態人文學系(自然組),1810,生物(分科)x2.00,國文(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E9%9D%9C%E5%AE%9C%E5%A4%A7%E5%AD%B8%E7%94%9F%E6%85%8B%E4%BA%BA%E6%96%87%E5%AD%B8%E7%B3%BB(%E8%87%AA%E7%84%B6%E7%B5%84)&id=01810,https://www.com.tw/exam/university_018_111.html
