搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學系、中文,東吳大學中國文學系,501,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=00501,https://www.com.tw/exam/university_005_111.html
歷史學系,東吳大學歷史學系,502,歷史(分科)x2.00,國文(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=00502,https://www.com.tw/exam/university_005_111.html
哲學系,東吳大學哲學系,503,國文(學測)x2.00,英文(學測)x2.00,數學B(學測)x2.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%93%B2%E5%AD%B8%E7%B3%BB&id=00503,https://www.com.tw/exam/university_005_111.html
政治學系,東吳大學政治學系,504,國文(學測)x1.50,英文(學測)x1.50,公民與社會(分科)x1.50,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E6%94%BF%E6%B2%BB%E5%AD%B8%E7%B3%BB&id=00504,https://www.com.tw/exam/university_005_111.html
社會學系,東吳大學社會學系,505,公民與社會(分科)x1.50,英文(學測)x1.50,數學B(學測)x1.00,國文(學測)x1.50,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%AD%B8%E7%B3%BB&id=00505,https://www.com.tw/exam/university_005_111.html
社會工作學系、社工,東吳大學社會工作學系,506,國文(學測)x1.50,英文(學測)x1.00,公民與社會(分科)x2.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=00506,https://www.com.tw/exam/university_005_111.html
音樂學系,東吳大學音樂學系,507,音樂(術科)x2.00,國文(學測)x1.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=00507,https://www.com.tw/exam/university_005_111.html
英文學系,東吳大學英文學系,508,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E8%8B%B1%E6%96%87%E5%AD%B8%E7%B3%BB&id=00508,https://www.com.tw/exam/university_005_111.html
日本語文學系,東吳大學日本語文學系,509,英文(學測)x1.50,國文(學測)x1.50,歷史(分科)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00509,https://www.com.tw/exam/university_005_111.html
德國文化學系,東吳大學德國文化學系,510,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%BE%B7%E5%9C%8B%E6%96%87%E5%8C%96%E5%AD%B8%E7%B3%BB&id=00510,https://www.com.tw/exam/university_005_111.html
