搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學系、中文,世新大學中國文學系,4701,國文(學測)x2.00,歷史(分科)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=04701,https://www.com.tw/exam/university_047_111.html
英語暨傳播應用學系、英文,世新大學英語暨傳播應用學系,4702,英文(學測)x2.00,國文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E8%8B%B1%E8%AA%9E%E6%9A%A8%E5%82%B3%E6%92%AD%E6%87%89%E7%94%A8%E5%AD%B8%E7%B3%BB&id=04702,https://www.com.tw/exam/university_047_111.html
日本語文學系,世新大學日本語文學系,4703,國文(學測)x2.00,歷史(分科)x1.00,英文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=04703,https://www.com.tw/exam/university_047_111.html
口語傳播暨社群媒體學系,世新大學口語傳播暨社群媒體學系,4704,國文(學測)x2.00,公民與社會(分科)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E5%8F%A3%E8%AA%9E%E5%82%B3%E6%92%AD%E6%9A%A8%E7%A4%BE%E7%BE%A4%E5%AA%92%E9%AB%94%E5%AD%B8%E7%B3%BB&id=04704,https://www.com.tw/exam/university_047_111.html
公共關係暨廣告學系,世新大學公共關係暨廣告學系,4705,國文(學測)x2.00,歷史(分科)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E9%97%9C%E4%BF%82%E6%9A%A8%E5%BB%A3%E5%91%8A%E5%AD%B8%E7%B3%BB&id=04705,https://www.com.tw/exam/university_047_111.html
資訊管理學系智慧網路應用組、資管,世新大學資訊管理學系智慧網路應用組,4706,國文(學測)x1.00,公民與社會(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E6%99%BA%E6%85%A7%E7%B6%B2%E8%B7%AF%E6%87%89%E7%94%A8%E7%B5%84&id=04706,https://www.com.tw/exam/university_047_111.html
企業管理學系、企管,世新大學企業管理學系,4707,公民與社會(分科)x2.00,國文(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=04707,https://www.com.tw/exam/university_047_111.html
數位多媒體設計學系遊戲設計組,世新大學數位多媒體設計學系遊戲設計組,4708,國文(學測)x2.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E6%95%B8%E4%BD%8D%E5%A4%9A%E5%AA%92%E9%AB%94%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB%E9%81%8A%E6%88%B2%E8%A8%AD%E8%A8%88%E7%B5%84&id=04708,https://www.com.tw/exam/university_047_111.html
新聞學系,世新大學新聞學系,4709,國文(學測)x2.00,公民與社會(分科)x2.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E6%96%B0%E8%81%9E%E5%AD%B8%E7%B3%BB&id=04709,https://www.com.tw/exam/university_047_111.html
觀光學系觀光規劃暨資源管理組,世新大學觀光學系觀光規劃暨資源管理組,4710,地理(分科)x2.00,國文(學測)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E4%B8%96%E6%96%B0%E5%A4%A7%E5%AD%B8%E8%A7%80%E5%85%89%E5%AD%B8%E7%B3%BB%E8%A7%80%E5%85%89%E8%A6%8F%E5%8A%83%E6%9A%A8%E8%B3%87%E6%BA%90%E7%AE%A1%E7%90%86%E7%B5%84&id=04710,https://www.com.tw/exam/university_047_111.html
