搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
護理學系,慈濟大學護理學系,10801,生物(分科)x2.00,英文(學測)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB&id=10801,https://www.com.tw/exam/university_108_111.html
生物醫學暨工程學系、生醫,慈濟大學生物醫學暨工程學系,10802,化學(分科)x2.00,數學A(學測)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E6%9A%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=10802,https://www.com.tw/exam/university_108_111.html
人類發展與心理學系,慈濟大學人類發展與心理學系,10803,國文(學測)x2.00,英文(學測)x1.50,公民與社會(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E4%BA%BA%E9%A1%9E%E7%99%BC%E5%B1%95%E8%88%87%E5%BF%83%E7%90%86%E5%AD%B8%E7%B3%BB&id=10803,https://www.com.tw/exam/university_108_111.html
傳播學系,慈濟大學傳播學系,10804,國文(學測)x2.00,英文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=10804,https://www.com.tw/exam/university_108_111.html
東方語文學系中文組,慈濟大學東方語文學系中文組,10805,國文(學測)x2.00,社會(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E6%9D%B1%E6%96%B9%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB%E4%B8%AD%E6%96%87%E7%B5%84&id=10805,https://www.com.tw/exam/university_108_111.html
社會工作學系、社工,慈濟大學社會工作學系,10806,國文(學測)x1.50,公民與社會(分科)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=10806,https://www.com.tw/exam/university_108_111.html
兒童發展與家庭教育學系,慈濟大學兒童發展與家庭教育學系,10807,國文(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E5%85%92%E7%AB%A5%E7%99%BC%E5%B1%95%E8%88%87%E5%AE%B6%E5%BA%AD%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=10807,https://www.com.tw/exam/university_108_111.html
醫學系(公費),慈濟大學醫學系(公費),10808,生物(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E7%B3%BB(%E5%85%AC%E8%B2%BB)&id=10808,https://www.com.tw/exam/university_108_111.html
公共衛生學系、公衛,慈濟大學公共衛生學系,10809,國文(學測)x1.00,英文(學測)x1.00,數學甲(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%9B%E7%94%9F%E5%AD%B8%E7%B3%BB&id=10809,https://www.com.tw/exam/university_108_111.html
醫學檢驗生物技術學系,慈濟大學醫學檢驗生物技術學系,10810,生物(分科)x1.50,化學(分科)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E6%AA%A2%E9%A9%97%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E5%AD%B8%E7%B3%BB&id=10810,https://www.com.tw/exam/university_108_111.html
醫學系(自費),慈濟大學醫學系(自費),10811,生物(分科)x1.00,英文(學測)x1.00,化學(分科)x1.00,數學甲(分科)x1.00,物理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E7%B3%BB(%E8%87%AA%E8%B2%BB)&id=10811,https://www.com.tw/exam/university_108_111.html
分子生物暨人類遺傳學系,慈濟大學分子生物暨人類遺傳學系,10812,生物(分科)x2.00,英文(學測)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E5%88%86%E5%AD%90%E7%94%9F%E7%89%A9%E6%9A%A8%E4%BA%BA%E9%A1%9E%E9%81%BA%E5%82%B3%E5%AD%B8%E7%B3%BB&id=10812,https://www.com.tw/exam/university_108_111.html
東方語文學系日文組,慈濟大學東方語文學系日文組,10813,國文(學測)x2.00,社會(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%85%88%E6%BF%9F%E5%A4%A7%E5%AD%B8%E6%9D%B1%E6%96%B9%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB%E6%97%A5%E6%96%87%E7%B5%84&id=10813,https://www.com.tw/exam/university_108_111.html
