搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學系、中文,東海大學中國文學系,901,國文(學測)x2.00,歷史(分科)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E7%B3%BB&id=00901,https://www.com.tw/exam/university_009_111.html
外國語文學系、外文,東海大學外國語文學系,902,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%A4%96%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=00902,https://www.com.tw/exam/university_009_111.html
電機工程學系、電機,東海大學電機工程學系,903,數學A(學測)x1.00,國文(學測)x2.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00903,https://www.com.tw/exam/university_009_111.html
音樂學系,東海大學音樂學系,904,音樂(術科)x2.00,英文(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=00904,https://www.com.tw/exam/university_009_111.html
應用物理學系,東海大學應用物理學系,905,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E7%89%A9%E7%90%86%E5%AD%B8%E7%B3%BB&id=00905,https://www.com.tw/exam/university_009_111.html
資訊工程學系(資電工程組、資工,東海大學資訊工程學系(資電工程組),906,數學甲(分科)x2.00,英文(學測)x2.00,自然(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E8%B3%87%E9%9B%BB%E5%B7%A5%E7%A8%8B%E7%B5%84)&id=00906,https://www.com.tw/exam/university_009_111.html
建築學系(A組,東海大學建築學系(A組),907,數學A(學測)x1.50,物理(分科)x1.50,化學(分科)x1.00,英文(學測)x1.50,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%BB%BA%E7%AF%89%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=00907,https://www.com.tw/exam/university_009_111.html
行政管理暨政策學系,東海大學行政管理暨政策學系,908,社會(學測)x2.00,公民與社會(分科)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E8%A1%8C%E6%94%BF%E7%AE%A1%E7%90%86%E6%9A%A8%E6%94%BF%E7%AD%96%E5%AD%B8%E7%B3%BB&id=00908,https://www.com.tw/exam/university_009_111.html
社會工作學系、社工,東海大學社會工作學系,909,國文(學測)x2.00,公民與社會(分科)x2.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB&id=00909,https://www.com.tw/exam/university_009_111.html
歷史學系,東海大學歷史學系,910,歷史(分科)x2.00,社會(學測)x1.00,國文(學測)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=00910,https://www.com.tw/exam/university_009_111.html
日本語言文化學系,東海大學日本語言文化學系,911,英文(學測)x1.50,國文(學測)x1.50,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E6%97%A5%E6%9C%AC%E8%AA%9E%E8%A8%80%E6%96%87%E5%8C%96%E5%AD%B8%E7%B3%BB&id=00911,https://www.com.tw/exam/university_009_111.html
生命科學系生物醫學組、生醫,東海大學生命科學系生物醫學組,912,生物(分科)x2.00,英文(學測)x2.00,化學(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%B8%E7%B3%BB%E7%94%9F%E7%89%A9%E9%86%AB%E5%AD%B8%E7%B5%84&id=00912,https://www.com.tw/exam/university_009_111.html
環境科學與工程學系,東海大學環境科學與工程學系,913,化學(分科)x2.00,數學甲(分科)x1.00,英文(學測)x1.50,國文(學測)x2.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E7%92%B0%E5%A2%83%E7%A7%91%E5%AD%B8%E8%88%87%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00913,https://www.com.tw/exam/university_009_111.html
化學工程與材料工程學系、化工,東海大學化學工程與材料工程學系,914,化學(分科)x2.00,數學甲(分科)x2.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E8%88%87%E6%9D%90%E6%96%99%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=00914,https://www.com.tw/exam/university_009_111.html
工業設計學系(A組,東海大學工業設計學系(A組),915,國文(學測)x2.00,英文(學測)x2.00,物理(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(A%E7%B5%84)&id=00915,https://www.com.tw/exam/university_009_111.html
財務金融學系、財金,東海大學財務金融學系,916,英文(學測)x1.50,數學B(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D%E5%AD%B8%E7%B3%BB&id=00916,https://www.com.tw/exam/university_009_111.html
資訊管理學系、資管,東海大學資訊管理學系,917,數學B(學測)x2.00,英文(學測)x2.00,公民與社會(分科)x1.75,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=00917,https://www.com.tw/exam/university_009_111.html
經濟學系一般經濟組,東海大學經濟學系一般經濟組,918,英文(學測)x2.00,公民與社會(分科)x2.00,國文(學測)x1.00,--,---,數學A(底標)或數學B(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E7%B6%93%E6%BF%9F%E5%AD%B8%E7%B3%BB%E4%B8%80%E8%88%AC%E7%B6%93%E6%BF%9F%E7%B5%84&id=00918,https://www.com.tw/exam/university_009_111.html
高齡健康與運動科學學士學位學程,東海大學高齡健康與運動科學學士學位學程,919,英文(學測)x1.50,國文(學測)x1.25,生物(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%9D%B1%E6%B5%B7%E5%A4%A7%E5%AD%B8%E9%AB%98%E9%BD%A1%E5%81%A5%E5%BA%B7%E8%88%87%E9%81%8B%E5%8B%95%E7%A7%91%E5%AD%B8%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=00919,https://www.com.tw/exam/university_009_111.html
