搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
中國文學學系、中文,淡江大學中國文學學系,1401,國文(學測)x2.00,歷史(分科)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E6%96%87%E5%AD%B8%E5%AD%B8%E7%B3%BB&id=01401,https://www.com.tw/exam/university_014_111.html
教育科技學系,淡江大學教育科技學系,1402,國文(學測)x1.00,英文(學測)x1.00,公民與社會(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB&id=01402,https://www.com.tw/exam/university_014_111.html
公共行政學系,淡江大學公共行政學系,1403,國文(學測)x1.50,公民與社會(分科)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%8C%E6%94%BF%E5%AD%B8%E7%B3%BB&id=01403,https://www.com.tw/exam/university_014_111.html
化學工程與材料工程學系、化工,淡江大學化學工程與材料工程學系,1404,數學甲(分科)x1.00,化學(分科)x1.50,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E8%88%87%E6%9D%90%E6%96%99%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01404,https://www.com.tw/exam/university_014_111.html
數學學系資料科學與數理統計組,淡江大學數學學系資料科學與數理統計組,1405,數學甲(分科)x2.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E5%AD%B8%E7%B3%BB%E8%B3%87%E6%96%99%E7%A7%91%E5%AD%B8%E8%88%87%E6%95%B8%E7%90%86%E7%B5%B1%E8%A8%88%E7%B5%84&id=01405,https://www.com.tw/exam/university_014_111.html
數學學系數學組,淡江大學數學學系數學組,1406,數學甲(分科)x2.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E5%AD%B8%E7%B3%BB%E6%95%B8%E5%AD%B8%E7%B5%84&id=01406,https://www.com.tw/exam/university_014_111.html
資訊與圖書館學系,淡江大學資訊與圖書館學系,1407,國文(學測)x2.00,英文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E8%88%87%E5%9C%96%E6%9B%B8%E9%A4%A8%E5%AD%B8%E7%B3%BB&id=01407,https://www.com.tw/exam/university_014_111.html
歷史學系,淡江大學歷史學系,1408,歷史(分科)x2.00,國文(學測)x1.50,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E5%AD%B8%E7%B3%BB&id=01408,https://www.com.tw/exam/university_014_111.html
資訊管理學系、資管,淡江大學資訊管理學系,1409,數學B(學測)x1.00,英文(學測)x2.00,公民與社會(分科)x1.50,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=01409,https://www.com.tw/exam/university_014_111.html
運輸管理學系,淡江大學運輸管理學系,1410,國文(學測)x2.00,地理(分科)x1.50,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E9%81%8B%E8%BC%B8%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=01410,https://www.com.tw/exam/university_014_111.html
土木工程學系、土木,淡江大學土木工程學系,1411,物理(分科)x1.50,數學甲(分科)x1.00,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E5%9C%9F%E6%9C%A8%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01411,https://www.com.tw/exam/university_014_111.html
資訊工程學系、資工,淡江大學資訊工程學系,1412,數學甲(分科)x2.00,英文(學測)x1.00,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01412,https://www.com.tw/exam/university_014_111.html
電機工程學系電機資訊組、電機,淡江大學電機工程學系電機資訊組,1413,物理(分科)x1.50,英文(學測)x1.00,國文(學測)x1.00,--,---,數學A(後標)或數學B(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB%E9%9B%BB%E6%A9%9F%E8%B3%87%E8%A8%8A%E7%B5%84&id=01413,https://www.com.tw/exam/university_014_111.html
理學院尖端材料科學學士學位學程,淡江大學理學院尖端材料科學學士學位學程,1414,物理(分科)x2.00,化學(分科)x2.00,數學A(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E7%90%86%E5%AD%B8%E9%99%A2%E5%B0%96%E7%AB%AF%E6%9D%90%E6%96%99%E7%A7%91%E5%AD%B8%E5%AD%B8%E5%A3%AB%E5%AD%B8%E4%BD%8D%E5%AD%B8%E7%A8%8B&id=01414,https://www.com.tw/exam/university_014_111.html
管理科學學系,淡江大學管理科學學系,1415,國文(學測)x2.00,數學B(學測)x1.00,英文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E7%A7%91%E5%AD%B8%E5%AD%B8%E7%B3%BB&id=01415,https://www.com.tw/exam/university_014_111.html
西班牙語文學系,淡江大學西班牙語文學系,1417,英文(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01417,https://www.com.tw/exam/university_014_111.html
日本語文學系,淡江大學日本語文學系,1418,國文(學測)x1.50,英文(學測)x1.50,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E6%97%A5%E6%9C%AC%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01418,https://www.com.tw/exam/university_014_111.html
大眾傳播學系、大傳,淡江大學大眾傳播學系,1419,英文(學測)x1.00,國文(學測)x1.00,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E5%A4%A7%E7%9C%BE%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=01419,https://www.com.tw/exam/university_014_111.html
法國語文學系,淡江大學法國語文學系,1420,英文(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E6%B3%95%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01420,https://www.com.tw/exam/university_014_111.html
俄國語文學系,淡江大學俄國語文學系,1421,英文(學測)x1.50,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E4%BF%84%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=01421,https://www.com.tw/exam/university_014_111.html
英文學系,淡江大學英文學系,1422,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E8%8B%B1%E6%96%87%E5%AD%B8%E7%B3%BB&id=01422,https://www.com.tw/exam/university_014_111.html
資訊傳播學系,淡江大學資訊傳播學系,1423,國文(學測)x2.00,英文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E6%B7%A1%E6%B1%9F%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB&id=01423,https://www.com.tw/exam/university_014_111.html
