搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
牙醫學系,臺北醫學大學牙醫學系,10901,英文(學測)x1.00,生物(分科)x1.00,化學(分科)x1.00,物理(分科)x1.00,數學甲(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E7%89%99%E9%86%AB%E5%AD%B8%E7%B3%BB&id=10901,https://www.com.tw/exam/university_109_111.html
醫務管理學系,臺北醫學大學醫務管理學系,10902,英文(學測)x1.50,國文(學測)x1.25,數學B(學測)x1.25,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%8B%99%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB&id=10902,https://www.com.tw/exam/university_109_111.html
護理學系,臺北醫學大學護理學系,10903,生物(分科)x1.50,英文(學測)x1.50,國文(學測)x1.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E8%AD%B7%E7%90%86%E5%AD%B8%E7%B3%BB&id=10903,https://www.com.tw/exam/university_109_111.html
公共衛生學系、公衛,臺北醫學大學公共衛生學系,10904,英文(學測)x1.50,化學(分科)x1.50,生物(分科)x1.50,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E5%85%AC%E5%85%B1%E8%A1%9B%E7%94%9F%E5%AD%B8%E7%B3%BB&id=10904,https://www.com.tw/exam/university_109_111.html
保健營養學系,臺北醫學大學保健營養學系,10905,化學(分科)x2.00,生物(分科)x1.50,英文(學測)x2.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E4%BF%9D%E5%81%A5%E7%87%9F%E9%A4%8A%E5%AD%B8%E7%B3%BB&id=10905,https://www.com.tw/exam/university_109_111.html
醫學檢驗暨生物技術學系、醫檢,臺北醫學大學醫學檢驗暨生物技術學系,10906,生物(分科)x1.50,英文(學測)x1.50,化學(分科)x1.50,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E6%AA%A2%E9%A9%97%E6%9A%A8%E7%94%9F%E7%89%A9%E6%8A%80%E8%A1%93%E5%AD%B8%E7%B3%BB&id=10906,https://www.com.tw/exam/university_109_111.html
醫學系(自費),臺北醫學大學醫學系(自費),10907,英文(學測)x1.00,生物(分科)x1.00,化學(分科)x1.00,數學A(學測)x1.00,物理(分科)x1.00,數學A(前標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%86%AB%E5%AD%B8%E7%B3%BB(%E8%87%AA%E8%B2%BB)&id=10907,https://www.com.tw/exam/university_109_111.html
高齡健康暨長期照護學系,臺北醫學大學高齡健康暨長期照護學系,10908,生物(分科)x1.50,英文(學測)x1.50,數學B(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E9%AB%98%E9%BD%A1%E5%81%A5%E5%BA%B7%E6%9A%A8%E9%95%B7%E6%9C%9F%E7%85%A7%E8%AD%B7%E5%AD%B8%E7%B3%BB&id=10908,https://www.com.tw/exam/university_109_111.html
藥學系臨床藥學組,臺北醫學大學藥學系臨床藥學組,10909,英文(學測)x1.50,化學(分科)x1.25,生物(分科)x1.50,數學甲(分科)x1.00,國文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E8%97%A5%E5%AD%B8%E7%B3%BB%E8%87%A8%E5%BA%8A%E8%97%A5%E5%AD%B8%E7%B5%84&id=10909,https://www.com.tw/exam/university_109_111.html
牙體技術學系,臺北醫學大學牙體技術學系,10910,英文(學測)x1.50,生物(分科)x1.25,化學(分科)x1.25,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E9%86%AB%E5%AD%B8%E5%A4%A7%E5%AD%B8%E7%89%99%E9%AB%94%E6%8A%80%E8%A1%93%E5%AD%B8%E7%B3%BB&id=10910,https://www.com.tw/exam/university_109_111.html
