搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
資訊經營學系(社會組,大同大學資訊經營學系(社會組),1901,國文(學測)x2.00,英文(學測)x2.00,地理(分科)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%B6%93%E7%87%9F%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=01901,https://www.com.tw/exam/university_019_111.html
資訊經營學系(自然組,大同大學資訊經營學系(自然組),1902,國文(學測)x2.00,英文(學測)x2.00,物理(分科)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%B6%93%E7%87%9F%E5%AD%B8%E7%B3%BB(%E8%87%AA%E7%84%B6%E7%B5%84)&id=01902,https://www.com.tw/exam/university_019_111.html
化學工程與生物科技學系(化學工程組、化工,大同大學化學工程與生物科技學系(化學工程組),1903,化學(分科)x2.00,英文(學測)x1.75,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E8%88%87%E7%94%9F%E7%89%A9%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB(%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E7%B5%84)&id=01903,https://www.com.tw/exam/university_019_111.html
媒體設計學系數位遊戲設計組,大同大學媒體設計學系數位遊戲設計組(社會組),1904,國文(學測)x1.00,數學B(學測)x1.00,歷史(分科)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E5%AA%92%E9%AB%94%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB%E6%95%B8%E4%BD%8D%E9%81%8A%E6%88%B2%E8%A8%AD%E8%A8%88%E7%B5%84(%E7%A4%BE%E6%9C%83%E7%B5%84)&id=01904,https://www.com.tw/exam/university_019_111.html
機械與材料工程學系、材料,大同大學機械與材料工程學系,1905,數學甲(分科)x2.00,英文(學測)x1.75,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E8%88%87%E6%9D%90%E6%96%99%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=01905,https://www.com.tw/exam/university_019_111.html
資訊工程學系(甲組、資工,大同大學資訊工程學系(甲組),1907,數學A(學測)x2.00,英文(學測)x1.50,國文(學測)x1.00,數學甲(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E7%94%B2%E7%B5%84)&id=01907,https://www.com.tw/exam/university_019_111.html
電機工程學系(甲組、電機,大同大學電機工程學系(甲組),1908,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E7%94%B2%E7%B5%84)&id=01908,https://www.com.tw/exam/university_019_111.html
工業設計學系(社會一組,大同大學工業設計學系(社會一組),1910,英文(學測)x2.00,歷史(分科)x2.00,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E7%A4%BE%E6%9C%83%E4%B8%80%E7%B5%84)&id=01910,https://www.com.tw/exam/university_019_111.html
事業經營學系(甲組,大同大學事業經營學系(甲組),1911,英文(學測)x2.00,國文(學測)x1.25,歷史(分科)x1.25,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E4%BA%8B%E6%A5%AD%E7%B6%93%E7%87%9F%E5%AD%B8%E7%B3%BB(%E7%94%B2%E7%B5%84)&id=01911,https://www.com.tw/exam/university_019_111.html
化學工程與生物科技學系(生物科技組、化工,大同大學化學工程與生物科技學系(生物科技組),1912,生物(分科)x2.00,英文(學測)x1.75,國文(學測)x2.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%A4%A7%E5%90%8C%E5%A4%A7%E5%AD%B8%E5%8C%96%E5%AD%B8%E5%B7%A5%E7%A8%8B%E8%88%87%E7%94%9F%E7%89%A9%E7%A7%91%E6%8A%80%E5%AD%B8%E7%B3%BB(%E7%94%9F%E7%89%A9%E7%A7%91%E6%8A%80%E7%B5%84)&id=01912,https://www.com.tw/exam/university_019_111.html
