搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
工業產品設計學系(臺北校區)、工設,實踐大學工業產品設計學系(臺北校區),5001,英文(學測)x2.00,數學B(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,--,英文(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E5%B7%A5%E6%A5%AD%E7%94%A2%E5%93%81%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05001,https://www.com.tw/exam/university_050_111.html
餐飲管理學系(臺北校區),實踐大學餐飲管理學系(臺北校區),5002,國文(學測)x1.00,英文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E9%A4%90%E9%A3%B2%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05002,https://www.com.tw/exam/university_050_111.html
服裝設計學系(臺北校區),實踐大學服裝設計學系(臺北校區),5003,英文(學測)x2.00,國文(學測)x2.00,數學B(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E6%9C%8D%E8%A3%9D%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05003,https://www.com.tw/exam/university_050_111.html
社會工作學系(臺北校區)、社工,實踐大學社會工作學系(臺北校區),5004,公民與社會(分科)x2.00,歷史(分科)x2.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E5%B7%A5%E4%BD%9C%E5%AD%B8%E7%B3%BB(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05004,https://www.com.tw/exam/university_050_111.html
建築設計學系(臺北校區),實踐大學建築設計學系(臺北校區),5005,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,地理(分科)x1.00,公民與社會(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E5%BB%BA%E7%AF%89%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05005,https://www.com.tw/exam/university_050_111.html
音樂學系A組,實踐大學音樂學系A組(臺北校區),5006,音樂(術科)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BBA%E7%B5%84(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05006,https://www.com.tw/exam/university_050_111.html
媒體傳達設計學系數位3D動畫設計組,實踐大學媒體傳達設計學系數位3D動畫設計組(臺北校區),5007,英文(學測)x2.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,英文(底標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E5%AA%92%E9%AB%94%E5%82%B3%E9%81%94%E8%A8%AD%E8%A8%88%E5%AD%B8%E7%B3%BB%E6%95%B8%E4%BD%8D3D%E5%8B%95%E7%95%AB%E8%A8%AD%E8%A8%88%E7%B5%84(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05007,https://www.com.tw/exam/university_050_111.html
食品營養與保健生技學系(臺北校區),實踐大學食品營養與保健生技學系(臺北校區),5008,國文(學測)x1.00,自然(學測)x1.00,化學(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E9%A3%9F%E5%93%81%E7%87%9F%E9%A4%8A%E8%88%87%E4%BF%9D%E5%81%A5%E7%94%9F%E6%8A%80%E5%AD%B8%E7%B3%BB(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05008,https://www.com.tw/exam/university_050_111.html
國際經營與貿易學系(臺北校區),實踐大學國際經營與貿易學系(臺北校區),5009,英文(學測)x1.50,國文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E5%9C%8B%E9%9A%9B%E7%B6%93%E7%87%9F%E8%88%87%E8%B2%BF%E6%98%93%E5%AD%B8%E7%B3%BB(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05009,https://www.com.tw/exam/university_050_111.html
資訊科技與管理學系元宇宙組,實踐大學資訊科技與管理學系元宇宙組(臺北校區),5010,歷史(分科)x1.00,國文(學測)x1.00,社會(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%A7%91%E6%8A%80%E8%88%87%E7%AE%A1%E7%90%86%E5%AD%B8%E7%B3%BB%E5%85%83%E5%AE%87%E5%AE%99%E7%B5%84(%E8%87%BA%E5%8C%97%E6%A0%A1%E5%8D%80)&id=05010,https://www.com.tw/exam/university_050_111.html
