搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
視覺藝術學系,臺北市立大學視覺藝術學系,3501,美術(術科)x2.00,國文(學測)x2.00,英文(學測)x1.00,數學B(學測)x1.00,歷史(分科)x1.00,國文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E8%A6%96%E8%A6%BA%E8%97%9D%E8%A1%93%E5%AD%B8%E7%B3%BB&id=03501,https://www.com.tw/exam/university_035_111.html
音樂學系,臺北市立大學音樂學系,3502,音樂(術科)x2.00,英文(學測)x1.00,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E9%9F%B3%E6%A8%82%E5%AD%B8%E7%B3%BB&id=03502,https://www.com.tw/exam/university_035_111.html
幼兒教育學系、幼教,臺北市立大學幼兒教育學系,3503,英文(學測)x2.00,國文(學測)x2.00,歷史(分科)x1.00,地理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E5%B9%BC%E5%85%92%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03503,https://www.com.tw/exam/university_035_111.html
教育學系,臺北市立大學教育學系,3504,國文(學測)x2.00,英文(學測)x2.00,數學B(學測)x2.00,歷史(分科)x1.00,地理(分科)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03504,https://www.com.tw/exam/university_035_111.html
歷史與地理學系,臺北市立大學歷史與地理學系,3505,國文(學測)x1.50,歷史(分科)x1.50,地理(分科)x1.50,數學B(學測)x1.00,英文(學測)x1.00,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E6%AD%B7%E5%8F%B2%E8%88%87%E5%9C%B0%E7%90%86%E5%AD%B8%E7%B3%BB&id=03505,https://www.com.tw/exam/university_035_111.html
英語教學系、英文,臺北市立大學英語教學系,3506,英文(學測)x2.00,國文(學測)x1.25,數學B(學測)x1.00,地理(分科)x1.00,--,---,英聽(Ｂ級),https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E8%8B%B1%E8%AA%9E%E6%95%99%E5%AD%B8%E7%B3%BB&id=03506,https://www.com.tw/exam/university_035_111.html
特殊教育學系,臺北市立大學特殊教育學系,3507,國文(學測)x2.00,數學B(學測)x1.50,英文(學測)x1.50,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E5%AD%B8%E7%B3%BB&id=03507,https://www.com.tw/exam/university_035_111.html
中國語文學系,臺北市立大學中國語文學系,3508,國文(學測)x2.00,歷史(分科)x1.00,英文(學測)x1.00,--,---,國文(均標),---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=03508,https://www.com.tw/exam/university_035_111.html
數學系,臺北市立大學數學系,3509,數學甲(分科)x2.00,物理(分科)x1.00,英文(學測)x1.00,國文(學測)x1.25,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E6%95%B8%E5%AD%B8%E7%B3%BB&id=03509,https://www.com.tw/exam/university_035_111.html
資訊科學系、資科,臺北市立大學資訊科學系,3510,數學甲(分科)x2.00,英文(學測)x2.00,國文(學測)x1.25,物理(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E8%87%BA%E5%8C%97%E5%B8%82%E7%AB%8B%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E7%A7%91%E5%AD%B8%E7%B3%BB&id=03510,https://www.com.tw/exam/university_035_111.html
