搜尋關鍵字,校系名稱,校系代碼,順序 1,順序 2,順序 3,順序 4,順序 5,學測採計,英聽,校系分則,去年分數
應用外語學系、應外,元智大學應用外語學系,4001,英文(學測)x1.50,國文(學測)x1.00,歷史(分科)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E6%87%89%E7%94%A8%E5%A4%96%E8%AA%9E%E5%AD%B8%E7%B3%BB&id=04001,https://www.com.tw/exam/university_040_111.html
管理學院學士班(主修：數位行銷與人力資源),元智大學管理學院學士班(主修：數位行銷與人力資源),4003,英文(學測)x2.00,數學B(學測)x2.00,公民與社會(分科)x2.00,歷史(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E5%AD%B8%E9%99%A2%E5%AD%B8%E5%A3%AB%E7%8F%AD(%E4%B8%BB%E4%BF%AE%EF%BC%9A%E6%95%B8%E4%BD%8D%E8%A1%8C%E9%8A%B7%E8%88%87%E4%BA%BA%E5%8A%9B%E8%B3%87%E6%BA%90)&id=04003,https://www.com.tw/exam/university_040_111.html
管理學院學士班(主修：財務金融)、財金,元智大學管理學院學士班(主修：財務金融),4004,公民與社會(分科)x1.50,社會(學測)x1.00,數學B(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E5%AD%B8%E9%99%A2%E5%AD%B8%E5%A3%AB%E7%8F%AD(%E4%B8%BB%E4%BF%AE%EF%BC%9A%E8%B2%A1%E5%8B%99%E9%87%91%E8%9E%8D)&id=04004,https://www.com.tw/exam/university_040_111.html
管理學院學士班(主修：國際企業管理)、企管,元智大學管理學院學士班(主修：國際企業管理),4005,英文(學測)x1.25,公民與社會(分科)x1.75,國文(學測)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E5%AD%B8%E9%99%A2%E5%AD%B8%E5%A3%AB%E7%8F%AD(%E4%B8%BB%E4%BF%AE%EF%BC%9A%E5%9C%8B%E9%9A%9B%E4%BC%81%E6%A5%AD%E7%AE%A1%E7%90%86)&id=04005,https://www.com.tw/exam/university_040_111.html
管理學院學士班(主修：會計)、會計,元智大學管理學院學士班(主修：會計),4006,公民與社會(分科)x2.00,社會(學測)x1.50,國文(學測)x1.00,數學B(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E7%AE%A1%E7%90%86%E5%AD%B8%E9%99%A2%E5%AD%B8%E5%A3%AB%E7%8F%AD(%E4%B8%BB%E4%BF%AE%EF%BC%9A%E6%9C%83%E8%A8%88)&id=04006,https://www.com.tw/exam/university_040_111.html
資訊工程學系、資工,元智大學資訊工程學系,4007,數學甲(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04007,https://www.com.tw/exam/university_040_111.html
資訊傳播學系設計組,元智大學資訊傳播學系設計組(創作組),4008,國文(學測)x1.00,英文(學測)x1.00,數學B(學測)x1.00,公民與社會(分科)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E8%B3%87%E8%A8%8A%E5%82%B3%E6%92%AD%E5%AD%B8%E7%B3%BB%E8%A8%AD%E8%A8%88%E7%B5%84(%E5%89%B5%E4%BD%9C%E7%B5%84)&id=04008,https://www.com.tw/exam/university_040_111.html
中國語文學系,元智大學中國語文學系,4009,國文(學測)x2.00,歷史(分科)x1.00,英文(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E4%B8%AD%E5%9C%8B%E8%AA%9E%E6%96%87%E5%AD%B8%E7%B3%BB&id=04009,https://www.com.tw/exam/university_040_111.html
社會暨政策科學學系,元智大學社會暨政策科學學系,4010,公民與社會(分科)x1.00,數學B(學測)x1.00,社會(學測)x1.00,--,---,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E7%A4%BE%E6%9C%83%E6%9A%A8%E6%94%BF%E7%AD%96%E7%A7%91%E5%AD%B8%E5%AD%B8%E7%B3%BB&id=04010,https://www.com.tw/exam/university_040_111.html
電機工程學系(甲組、電機,元智大學電機工程學系(甲組),4011,數學甲(分科)x1.00,物理(分科)x1.00,英文(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E9%9B%BB%E6%A9%9F%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB(%E7%94%B2%E7%B5%84)&id=04011,https://www.com.tw/exam/university_040_111.html
機械工程學系、機械,元智大學機械工程學系,4012,數學甲(分科)x1.00,物理(分科)x1.00,自然(學測)x1.00,國文(學測)x1.00,--,---,---,https://university-tw.ldkrsi.men/go-to/uac?title=%E5%85%83%E6%99%BA%E5%A4%A7%E5%AD%B8%E6%A9%9F%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%AD%B8%E7%B3%BB&id=04012,https://www.com.tw/exam/university_040_111.html
